HS 1996 Product Code,HS 1996 Product Description,CCCN Product Code,CCCN Product Description
010111,Horses :-- Pure-bred breeding animals,0101,"Live horses, asses, mules and hinnies"
010119,Horses :-- Other,0101,"Live horses, asses, mules and hinnies"
010120,"Asses, mules and hinnies",0101,"Live horses, asses, mules and hinnies"
010210,Pure-bred breeding animals,0102A,"Bovine species,live -- pure bred for breeding"
010290,Other,0102B,"Bovine species,live -- othr than for breeding"
010310,Pure-bred breeding animals,0103,Live swine
010391,Other :-- Weighing less than 50 kg,0103,Live swine
010392,Other :-- Weighing 50 kg or more,0103,Live swine
010410,Sheep,0104A,"Sheep,live"
010420,Goats,0104B,"Goats,live"
010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus,0105A,Live poultry less 185 gr
010512,Weighing not more than 185 g :-- Turkeys,0105A,Live poultry less 185 gr
010519,Weighing not more than 185 g :-- Other,0105A,Live poultry less 185 gr
010592,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",0105B,Live poultry over 185 gr
010593,"Other :-- Fowls of the species Gallus domesticus, weighing more than 2,000 g",0105B,Live poultry over 185 gr
010599,Other,0105B,Live poultry over 185 gr
010600,Other live animals.,0106B,"Zoo animals,pets"
020110,Carcasses and half-carcasses,0201A,Bovine meat with bone in
020120,Other cuts with bone in,0201A,Bovine meat with bone in
020130,Boneless,0201B,Bovine meat boneless
020210,Carcasses and half-carcasses,0201A,Bovine meat with bone in
020220,Other cuts with bone in,0201A,Bovine meat with bone in
020230,Boneless,0201B,Bovine meat boneless
020311,Fresh or chilled :-- Carcasses and half-carcasses,0201D,"Pig meat fresh,chilled,frozen"
020312,"Fresh or chilled :-- Hams, shoulders and cuts thereof, with bone in",0201D,"Pig meat fresh,chilled,frozen"
020319,Fresh or chilled :-- Other,0201D,"Pig meat fresh,chilled,frozen"
020321,Frozen :-- Carcasses and half-carcasses,0201D,"Pig meat fresh,chilled,frozen"
020322,"Frozen :-- Hams, shoulders and cuts thereof, with bone in",0201D,"Pig meat fresh,chilled,frozen"
020329,Frozen :-- Other,0201D,"Pig meat fresh,chilled,frozen"
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",0201C,"Mutton etc fresh,chilled,frozen"
020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses",0201C,"Mutton etc fresh,chilled,frozen"
020422,"Other meat of sheep, fresh or chilled :-- Other cuts with bone in",0201C,"Mutton etc fresh,chilled,frozen"
020423,"Other meat of sheep, fresh or chilled :-- Boneless",0201C,"Mutton etc fresh,chilled,frozen"
020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen",0201C,"Mutton etc fresh,chilled,frozen"
020441,"Other meat of sheep, frozen :-- Carcasses and half-carcasses",0201C,"Mutton etc fresh,chilled,frozen"
020442,"Other meat of sheep, frozen :-- Other cuts with bone in",0201C,"Mutton etc fresh,chilled,frozen"
020443,"Other meat of sheep, frozen :-- Boneless",0201C,"Mutton etc fresh,chilled,frozen"
020450,Meat of goats,0201C,"Mutton etc fresh,chilled,frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",0201E,"Horse meat fresh,chilled,frozen"
020610,"Of bovine animals, fresh or chilled",0201F,"Edible offal fresh,chilled,frozen"
020621,"Of bovine animals, frozen :-- Tongues",0201F,"Edible offal fresh,chilled,frozen"
020622,"Of bovine animals, frozen :-- Livers",0201F,"Edible offal fresh,chilled,frozen"
020629,"Of bovine animals, frozen :-- Other",0201F,"Edible offal fresh,chilled,frozen"
020630,"Of swine, fresh or chilled",0201F,"Edible offal fresh,chilled,frozen"
020641,"Of swine, frozen :-- Livers",0201F,"Edible offal fresh,chilled,frozen"
020649,"Of swine, frozen :-- Other",0201F,"Edible offal fresh,chilled,frozen"
020680,"Other, fresh or chilled",0201F,"Edible offal fresh,chilled,frozen"
020690,"Other, frozen",0201F,"Edible offal fresh,chilled,frozen"
020711,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020712,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, frozen",0202,"Poultry fresh,chilled,frozen"
020713,"Of fowls of the species Gallus domesticus :-- Cuts and offal, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020714,"Of fowls of the species Gallus domesticus :-- Cuts and offal, frozen",0202,"Poultry fresh,chilled,frozen"
020724,"Of turkeys :-- Not cut in pieces, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020725,"Of turkeys :-- Not cut in pieces, frozen",0202,"Poultry fresh,chilled,frozen"
020726,"Of turkeys :-- Cuts and offal, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020727,"Of turkeys :-- Cuts and offal, frozen",0202,"Poultry fresh,chilled,frozen"
020732,"Of ducks, geese or guinea fowls :-- Not cut in pieces, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020733,"Of ducks, geese or guinea fowls :-- Not cut in pieces, frozen",0202,"Poultry fresh,chilled,frozen"
020734,"Of ducks, geese or guinea fowls :-- Fatty livers, fresh or chilled",0203,"Poultry liver fresh,etc"
020735,"Of ducks, geese or guinea fowls :-- Other, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020736,"Of ducks, geese or guinea fowls :-- Other, frozen",0202,"Poultry fresh,chilled,frozen"
020810,Of rabbits or hares,0204,"Other meat nes fresh,etc"
020820,Frogs'legs,0204,"Other meat nes fresh,etc"
020890,Other,0204,"Other meat nes fresh,etc"
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",0205,"Pig,poultry fat not rendered"
021011,"Meat of swine :-- Hams, shoulders and cuts thereof, with bone in",0206A,"Pig meat dried,salted,smoked"
021012,Meat of swine :-- Bellies (streaky) and cuts thereof,0206A,"Pig meat dried,salted,smoked"
021019,Meat of swine :-- Other,0206A,"Pig meat dried,salted,smoked"
021020,Meat of bovine animals,0206B,"Meat nes dried,salted,smoked"
021090,"Other, including edible flours and meals of meat or meat offal",1602,"Other prepared,presrved meat"
030110,Ornamental fish,0301A,"Fish fresh,chilled,excluding fillets"
030191,"Other live fish :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0301A,"Fish fresh,chilled,excluding fillets"
030192,Other live fish :-- Eels (Anguilla spp.),0301A,"Fish fresh,chilled,excluding fillets"
030193,Other live fish :-- Carp,0301A,"Fish fresh,chilled,excluding fillets"
030199,Other live fish :-- Other,0301A,"Fish fresh,chilled,excluding fillets"
030211,"Salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0301A,"Fish fresh,chilled,excluding fillets"
030212,"Salmonidae, excluding livers and roes :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchusgorbascha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhnchus rhodurus), Altantic salmon (Sa",0301A,"Fish fresh,chilled,excluding fillets"
030219,"Salmonidae, excluding livers and roes :-- Other",0301A,"Fish fresh,chilled,excluding fillets"
030221,"Salmonidae, excluding livers and roes :-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",0301A,"Fish fresh,chilled,excluding fillets"
030222,"Salmonidae, excluding livers and roes :-- Plaice (Pleuronectes platessa)",0301A,"Fish fresh,chilled,excluding fillets"
030223,"Salmonidae, excluding livers and roes :-- Sole (Solea spp.)",0301A,"Fish fresh,chilled,excluding fillets"
030229,"Salmonidae, excluding livers and roes :-- Other",0301A,"Fish fresh,chilled,excluding fillets"
030231,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)",0301A,"Fish fresh,chilled,excluding fillets"
030232,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)",0301A,"Fish fresh,chilled,excluding fillets"
030233,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or stripe-bellied bonito",0301A,"Fish fresh,chilled,excluding fillets"
030239,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other",0301A,"Fish fresh,chilled,excluding fillets"
030240,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",0301A,"Fish fresh,chilled,excluding fillets"
030250,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",0301A,"Fish fresh,chilled,excluding fillets"
030261,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",0301A,"Fish fresh,chilled,excluding fillets"
030262,"Other fish, excluding livers and roes :-- Haddock (Melanogrammus aeglefinus)",0301A,"Fish fresh,chilled,excluding fillets"
030263,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)",0301A,"Fish fresh,chilled,excluding fillets"
030264,"Other fish, excluding livers and roes :-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0301A,"Fish fresh,chilled,excluding fillets"
030265,"Other fish, excluding livers and roes :-- Dogfish and other sharks",0301A,"Fish fresh,chilled,excluding fillets"
030266,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)",0301A,"Fish fresh,chilled,excluding fillets"
030269,"Other fish, excluding livers and roes :-- Other",0301A,"Fish fresh,chilled,excluding fillets"
030270,Livers and roes,0301A,"Fish fresh,chilled,excluding fillets"
030310,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), excluding livers and roes",0301B,"Fish frozen,excluding fillets"
030321,"Other salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0301B,"Fish frozen,excluding fillets"
030322,"Other salmonidae, excluding livers and roes :-- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",0301B,"Fish frozen,excluding fillets"
030329,"Other salmonidae, excluding livers and roes :-- Other",0301B,"Fish frozen,excluding fillets"
030331,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",0301B,"Fish frozen,excluding fillets"
030332,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Plaice (Pleuronectes platessa)",0301B,"Fish frozen,excluding fillets"
030333,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Sole (Solea spp.)",0301B,"Fish frozen,excluding fillets"
030339,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Other",0301B,"Fish frozen,excluding fillets"
030341,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)",0301B,"Fish frozen,excluding fillets"
030342,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)",0301B,"Fish frozen,excluding fillets"
030343,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or strip-bellied bonito",0301B,"Fish frozen,excluding fillets"
030349,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other",0301B,"Fish frozen,excluding fillets"
030350,"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",0301B,"Fish frozen,excluding fillets"
030360,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",0301B,"Fish frozen,excluding fillets"
030371,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",0301B,"Fish frozen,excluding fillets"
030372,"Other fish, excluding livers and roes :-- Haddock (Melanogrammus aeglefinus)",0301B,"Fish frozen,excluding fillets"
030373,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)",0301B,"Fish frozen,excluding fillets"
030374,"Other fish, excluding livers and roes :-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",0301B,"Fish frozen,excluding fillets"
030375,"Other fish, excluding livers and roes :- Other fish, excluding livers and roes :-- Dogfish and other sharks",0301B,"Fish frozen,excluding fillets"
030376,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)",0301B,"Fish frozen,excluding fillets"
030377,"Other fish, excluding livers and roes :-- Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",0301B,"Fish frozen,excluding fillets"
030378,"Other fish, excluding livers and roes :-- Hake (Merluccius spp., Urophycis spp.)",0301B,"Fish frozen,excluding fillets"
030379,Other,0301B,"Fish frozen,excluding fillets"
030380,Livers and roes,0301D,"Fish fillets,frozen"
030410,Fresh or chilled,0301C,"Fish fillets,fresh,chilled"
030420,Frozen fillets,0301D,"Fish fillets,frozen"
030490,Other,0301B,"Fish frozen,excluding fillets"
030510,"Flours, meals and pellets of fish, fit for human consumption",0302A,Fish meal fit for food
030520,"Livers and roes, dried, smoked, salted or in brine",0302B,Cod(not in fillets)dried
030530,"Fish fillets, dried, salted or in brine, but not smoked",0302C,"Fish(excluding cod),salted"
030541,"Smoked fish, including fillets :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Altantic salmon (Salmo s",0302D,Fish smoked
030542,"Smoked fish, including fillets :-- Herrings (Clupea harengus, Clupea pallasii)",0302D,Fish smoked
030549,"Smoked fish, including fillets :-- Other",0302D,Fish smoked
030551,"Dried fish, whether or not salted but not smoked :-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",0302B,Cod(not in fillets)dried
030559,"Dried fish, whether or not salted but not smoked :-- Other",0302C,"Fish(excluding cod),salted"
030561,"Fish, salted but not dried or smoked and fish in brine :-- Herrings (Clupea harengus, Clupea pallasii)",0302C,"Fish(excluding cod),salted"
030562,"Fish, salted but not dried or smoked and fish in brine :-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",0302C,"Fish(excluding cod),salted"
