HS 1988/92 Product Code,HS 1988/92 Product Description,GTAP Product Code,GTAP Product Description
100610,Rice in the husk (paddy or rough),01,PDR - Paddy rice
100620,Husked (brown) rice,01,PDR - Paddy rice
100110,Durum wheat,02,WHT - Wheat
100190,"Spelt, common wheat and meslin",02,WHT - Wheat
100200,Rye,03,GRO - Cereal grains n.e.c.
100300,Barley,03,GRO - Cereal grains n.e.c.
100400,Oats,03,GRO - Cereal grains n.e.c.
100510,Maize seed,03,GRO - Cereal grains n.e.c.
100590,Maize (excl. seed),03,GRO - Cereal grains n.e.c.
100700,Grain sorghum,03,GRO - Cereal grains n.e.c.
100810,Buckwheat,03,GRO - Cereal grains n.e.c.
100820,Millet,03,GRO - Cereal grains n.e.c.
100830,Canary seed,03,GRO - Cereal grains n.e.c.
100890,"Other cereal, nes",03,GRO - Cereal grains n.e.c.
070110,Seed potatoes,04,"V_F - Vegetables, fruit, nuts"
070190,"Other potatoes, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070200,"Tomatoes, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070310,"Onions and shallots, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070320,"Garlic, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070390,"Leeks and other alliaceous vegetables, nes",04,"V_F - Vegetables, fruit, nuts"
070410,"Cauliflowers and headed broccoli, fresh or chil",04,"V_F - Vegetables, fruit, nuts"
070420,"Brussels sprouts, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070490,"White and red cabbages, kohlrabi, kale...etc, f",04,"V_F - Vegetables, fruit, nuts"
070511,"Cabbage lettuce, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070519,"Lettuce, fresh or chilled, (excl. cabbage lettu",04,"V_F - Vegetables, fruit, nuts"
070521,"Witloof chicory, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070529,"Chicory, fresh or chilled, (excl. witloof)",04,"V_F - Vegetables, fruit, nuts"
070610,"Carrots and turnips, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070690,Beetroot...radishes and other similar edible ro,04,"V_F - Vegetables, fruit, nuts"
070700,"Cucumbers and gherkins, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070810,"Peas, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070820,"Beans, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070890,"Leguminous vegetables, fresh or chilled, nes",04,"V_F - Vegetables, fruit, nuts"
070910,"Globe artichokes, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070920,"Asparagus, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070930,"Aubergines, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
070940,"Celery, fresh or chilled",04,"V_F - Vegetables, fruit, nuts"
