SITC Revision 1 Product Code,SITC Revision 1 Product Description,BEC Product Code,BEC Product Description
0015,"Horses, asses, mules and hinnies",7,Goods not elsewhere specified
7351,Warships of all kinds,7,Goods not elsewhere specified
89293,"Unissued postage stamps, banknotes, simil. docum.",7,Goods not elsewhere specified
89998,Parachutes,7,Goods not elsewhere specified
89999,"Catapults and sim. aircraft launching gear, etc.",7,Goods not elsewhere specified
9110,Postal packages,7,Goods not elsewhere specified
9310,Special transactions,7,Goods not elsewhere specified
9410,"Animals, n.e.s.",7,Goods not elsewhere specified
95101,Armoured fighting vehicles,7,Goods not elsewhere specified
95102,"Artillery weapons, mach. guns and arms, n.e.s.",7,Goods not elsewhere specified
95103,Parts of military ordnance,7,Goods not elsewhere specified
95104,Sidearms and parts thereof,7,Goods not elsewhere specified
95105,Revolvers and pistols,7,Goods not elsewhere specified
95106,"Projectiles and ammunition, n.e.s.",7,Goods not elsewhere specified
9610,"Coin other than gold ,not being legal tender",7,Goods not elsewhere specified
0440,"Maize (corn), unmilled",21,Primary
0452,"Oats, unmilled",21,Primary
08111,"Cereals straw & husks, unprepared",21,Primary
08112,"Fodder roots, hay, lupines, vetches & similar prod",21,Primary
08119,Vegetable prod. of a kind used for animal food,21,Primary
0812,"Bran, pollard, sharps & other by products",21,Primary
08191,Coffee husks & skins,21,Primary
08192,"Cocoa shells, husks, skins and waste",21,Primary
08193,"Beet pulp, bagasse and such wastes",21,Primary
08194,Wine lees; argol,21,Primary
1210,"Tobacco, unmanufactured & scrap",21,Primary
2111,Bovine & equine hides excl. Calf & kip skins,21,Primary
2112,Calf skins and kip skins,21,Primary
2114,Goat skins and kid skins,21,Primary
2116,"Sheep and lamb skins, with the wool on",21,Primary
2117,"Sheep and lamb skins, without the wool",21,Primary
2118,Waste & used leather,21,Primary
2119,"Hides & skins, n.e.s.",21,Primary
2120,"Fur skins, undressed",21,Primary
2215,Linseed,21,Primary
2217,Castor oil seed,21,Primary
2311,Natural rubber and similar natural gums,21,Primary
2314,Waste & scrap of unhardened rubber,21,Primary
2421,"Pulpwood, including broadleaved",21,Primary
24221,"Sawlogs & veneer logs, in the rough conifer",21,Primary
24222,"Sawlogs & veneer logs, roughly squared conifer",21,Primary
24231,"Sawlogs & veneer logs, in the rough non conifer",21,Primary
24232,"Sawlogs & veneer logs, roughly squared non conifer",21,Primary
2424,Pitprops,21,Primary
2429,"Poles, piling, posts & other wood in the rough.",21,Primary
24401,"Cork, unworked, crushed, granulated; waste cork",21,Primary
2511,Paper waste and old paper,21,Primary
2611,Silk worm cocoons suitable for reeling,21,Primary
2612,Unreelable cocoons and cocoons wastes,21,Primary
2621,"Sheeps and lambs wool, greasy or fleece washed",21,Primary
2622,"Sheeps and lambs wool, degreased",21,Primary
2623,"Fine animal hair, ex. wool not carded or combed",21,Primary
26251,"Horsehair & other coarse hair, not carded/combed",21,Primary
26259,"Other coarse hair, not carded or combed",21,Primary
2629,"Waste of wool and of other animal hair, n.e.s",21,Primary
2631,"Raw cotton, other than linters",21,Primary
2632,Cotton linters,21,Primary
2633,"Cotton waste, not carded or combed",21,Primary
2640,Jute & waste,21,Primary
2651,Flax and flax tow and waste,21,Primary
2652,True hemp and true hemp tow and waste,21,Primary
2653,Ramie and ramie noils & waste,21,Primary
2654,Sisal and other fibres of the agave family,21,Primary
2655,Manila fibre and manila tow and waste,21,Primary
2658,"Vegetable textile fibres, n.e.s. and waste",21,Primary
26701,Old clothing & other textile waste imported,21,Primary
26702,"Used or new rags, scrap cordage or worm out art.",21,Primary
2711,Natural fertilizers of anim./veget. Origin,21,Primary
2712,Natural sodium nitrate,21,Primary
2713,"Natural phosphates, whether or not ground",21,Primary
2714,"Natural potassic salts, crude",21,Primary
27311,Slate,21,Primary
27312,Marble and other calcareous monu. or build. Stone,21,Primary
27313,"Granite, porphyry, sandstone, etc.",21,Primary
27321,Gypsum and plasters,21,Primary
27322,Limestone flux & calcer. stone used for lime,21,Primary
2733,Sand excluding metal bearing sand,21,Primary
2734,Gravel & crushed stone,21,Primary
2741,"Sulphur, not sublimed, precipitd or colloidal",21,Primary
2742,"Iron pyrites, unroasted",21,Primary
2751,Industrial diamonds,21,Primary
27521,Dust & powder of mat./synth. precious semi stone,21,Primary
27522,"Infusorial earths, etc.",21,Primary
27523,"Pumice stone, emery, nat. corundum & mat. abrasives",21,Primary
2761,Natural asphalt & natural bitumen,21,Primary
27621,"Clay and similar refractory materials, n.e.s.",21,Primary
27622,Natural graphite,21,Primary
27623,Dolomite,21,Primary
27624,Magnesite,21,Primary
2763,Salt,21,Primary
2764,"Asbestos, crude, washed or ground",21,Primary
27651,Natural quartz and quartzite,21,Primary
27652,Mica (incl. splitings and waste ),21,Primary
27653,"Cryolite and chiolite, natural",21,Primary
27654,"Felspar, fluorspar, etc.",21,Primary
27661,"Slag, dross, scalings & sim. waste of iron/steel",21,Primary
27662,"Slag and ash, n.e.s.(incl. kelp)",21,Primary
27691,Chalk,21,Primary
27692,"Earth colours, etc.",21,Primary
27693,Natural barium sulphate & barium carbonate,21,Primary
27694,"Meerschaum, amber, jet",21,Primary
27695,Natural steatite; talc,21,Primary
27696,Natural arsenic sulphides,21,Primary
27697,Crude natural borates,21,Primary
27699,"Mineral substances, n.e.s.",21,Primary
2813,Iron ore & concentrates ex roasted iron pyrites,21,Primary
2814,Roasted iron pyrites,21,Primary
2820,Iron & steel scrap,21,Primary
28311,Ores and concentrates of copper,21,Primary
28312,Copper matte,21,Primary
28321,Ores & concentrates of nickel,21,Primary
28322,Nickel/speis matte & other intermediate prod.,21,Primary
2833,Bauxite and concentrates of aluminium,21,Primary
2834,Ores and concentrates of lead,21,Primary
2835,Ores and concentrates of zinc,21,Primary
2836,Ores and concentrates of tin,21,Primary
2837,Ores and concentrates of manganese,21,Primary
28391,Ores & concentrates of chromium,21,Primary
28392,Ores & concentrates of tungsten,21,Primary
28393,"Ores & conc. of titanium, vanadium, molybdem, etc.",21,Primary
28399,Other ores & conc. of non-ferrous base metals.,21,Primary
28401,Ash and residues bearing non ferrous metals,21,Primary
28402,Copper waste and scrap,21,Primary
28403,Nickel waste and scrap,21,Primary
28404,Aluminium waste and scrap,21,Primary
28405,Magnesium waste and scrap,21,Primary
28406,Lead waste and scrap,21,Primary
28407,Zinc waste and scrap,21,Primary
28408,Zinc dust (blue powder),21,Primary
28409,Tin waste and scrap,21,Primary
28501,"Ores & conc. of silver, platinum, etc.",21,Primary
28502,"Waste & sweepings of silver, platinum group met.",21,Primary
2860,Ores & concentrates of uranium & thorium,21,Primary
29111,Bones and horn cores and their wastes,21,Primary
29112,"Horn, antlers, whalebone, etc. and their wastes",21,Primary
29113,Ivory and waste,21,Primary
29114,Tortoise shell and waste,21,Primary
29115,Coral and shells and their wastes,21,Primary
29191,"Human hair, unworked; waste of human hair",21,Primary
29192,Bristles and brush making hair & their wastes,21,Primary
29193,"Guts, bladders & stomachs of animals(non fish)",21,Primary
29194,Fish waste,21,Primary
29195,Waste of raw hides and skins,21,Primary
29196,"Birds"" feathers, etc.",21,Primary
29197,Natural sponges,21,Primary
29198,"Ambergris, civet, musk, etc.",21,Primary
29199,"Other materials of animal origin, n.e.s.",21,Primary
2921,Plants used in dyeing & tanning,21,Primary
2922,"Natural gums, resins, balsam and lacs",21,Primary
2923,Vegetable materials used for plaiting,21,Primary
2924,"Plants, seeds, flowers used in perfumery/pharmac.",21,Primary
2925,"Seeds, fruit & spores for planting",21,Primary
29261,"Bulbs, tubers, corms, crowns and rhizomes",21,Primary
29269,"Live plants, n.e.s.",21,Primary
29291,"Veg. saps, extracts, pectic subst. diriv. from veg.",21,Primary
29292,Veg.mat. used primarily as stuffing or padding,21,Primary
29293,Veg.mat. used primarily in brushes or brooms,21,Primary
29294,"Seeds, nuts, etc. used for carving",21,Primary
29299,"Other materials of vegetable origin, n.e.s.",21,Primary
3217,Peat briquettes & peat,21,Primary
6671,"Pearls, not set or strung",21,Primary
6672,"Diamonds, not industrial, not set or strung",21,Primary
6673,Other precious & semi precious stones not set,21,Primary
7358,"Ships, boats and other vessels for breaking up",21,Primary
0813,Oil seed cake & meal & other veg. Oil residues,22,Processed
0814,"Meat & fish meal, unfit for human consumption",22,Processed
08199,Sweetened forage; prep. used in animal feeding,22,Processed
2312,Synthetic rubber and rubber substitutes,22,Processed
2313,Reclaimed rubber,22,Processed
2431,Railway sleepers ties,22,Processed
24321,"Lumber, sawn lengthwise, etc. Conifer",22,Processed
24322,"Lumber, planed, tongued, grooved, etc. Conifer",22,Processed
24331,"Lumber, sawn lengthwise ,etc. non conifer",22,Processed
24332,"Lumber, planed, tongued, grooved, etc., non conifer",22,Processed
24402,"Cork in blocks, plates, sheets or strips, etc.",22,Processed
2512,Mechanical wood pulp,22,Processed
2515,Pulp other than wood pulp,22,Processed
2516,"Chemical wood pulp, dissolving grades",22,Processed
25171,"Sulphate wood pulp, unbleached",22,Processed
25172,"Sulphate wood pulp, bleached, not dissolving",22,Processed
25181,"Sulphite wood pulp, unbleached",22,Processed
25182,"Sulphite wood pulp, bleached, not dissolving",22,Processed
2519,Semi chemical wood pulp,22,Processed
2613,"Raw silk, not thrown",22,Processed
2626,Wool shoddy,22,Processed
2627,"Wool or anim. Hair, carded or combed, ex. Tops",22,Processed
2628,Wool tops,22,Processed
2634,"Cotton, carded or combed",22,Processed
26621,Discont. Synth. Fibres not carded or combed,22,Processed
26622,Cont. Filament tow for manuf. discon. syn. fibres,22,Processed
26623,Discont. synth. fibres or waste carded or combed,22,Processed
26631,"Discont  regener. Fibres, not carded or combed",22,Processed
26632,Cont filament tow for manuf. discon. regen. fibre,22,Processed
26633,Discont regen. fibres or waste carded or combed,22,Processed
2664,Waste of synthetic or regenerated fibres,22,Processed
33261,Petroleum jelly (petrolatum),22,Processed
33262,Mineral waxes,22,Processed
33291,"Non lubricating oils, n.e.s.",22,Processed
33292,Pitch obtained from coal tar or from other tars,22,Processed
33293,Pitch coke,22,Processed
33294,Petroleum coke,22,Processed
33295,Petr. bitumen & other petrol.& shale oil resid.,22,Processed
33296,"Bituminous mixt. based on asphalt, petroleum, etc.",22,Processed
41132,"Fats, unrendered, of bovine cattle sheeps tallow",22,Processed
41133,"Lard stearin and lard oil, etc.",22,Processed
41134,"Wool grease, etc. (incl. lanolin)",22,Processed
41135,Degras,22,Processed
41139,"Animal oils and fats, n.e.s.",22,Processed
4221,Linseed oil,22,Processed
4225,Castor oil,22,Processed
4229,"Fixed vegetable oils, n.e.s.",22,Processed
4311,"Anim./veget. oils, boiled, oxidized, dehydrated",22,Processed
43131,Fatty acids; acid oils from refining,22,Processed
43132,Residues from the treatment of fatty substances,22,Processed
43141,Spermaceti,22,Processed
43142,Beeswax and other insect waxes,22,Processed
43143,Vegetable waxes,22,Processed
51211,Styrene,22,Processed
51212,Other hydrocarbons,22,Processed
51213,Halogenated derivatives of hydrocarbons,22,Processed
51214,Other derivatives of hydrocarbons,22,Processed
51221,Methyl alcohol /methanol/,22,Processed
