HS 1996 Product Code,HS 1996 Product Description,CPC Product Code,CPC Product Description
010111,Horses :-- Pure-bred breeding animals,02113,"Horses, asses, mules and hinnies, live"
010119,Horses :-- Other,02113,"Horses, asses, mules and hinnies, live"
010120,"Asses, mules and hinnies",02113,"Horses, asses, mules and hinnies, live"
010210,Pure-bred breeding animals,02111,"Bovine cattle, live"
010290,Other,02111,"Bovine cattle, live"
010310,Pure-bred breeding animals,02121,"Swine, live"
010391,Other :-- Weighing less than 50 kg,02121,"Swine, live"
010392,Other :-- Weighing 50 kg or more,02121,"Swine, live"
010410,Sheep,02112,"Sheep and goats, live"
010420,Goats,02112,"Sheep and goats, live"
010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus,02122,"Poultry, live"
010512,Weighing not more than 185 g :-- Turkeys,02122,"Poultry, live"
010519,Weighing not more than 185 g :-- Other,02122,"Poultry, live"
010592,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",02122,"Poultry, live"
010593,"Other :-- Fowls of the species Gallus domesticus, weighing more than 2,000 g",02122,"Poultry, live"
010599,Other,02122,"Poultry, live"
010600,Other live animals.,02129,Other live animals
020110,Carcasses and half-carcasses,21111,"Meat of bovine animals, fresh or chilled"
020120,Other cuts with bone in,21111,"Meat of bovine animals, fresh or chilled"
020130,Boneless,21111,"Meat of bovine animals, fresh or chilled"
020210,Carcasses and half-carcasses,21112,"Meat of bovine animals, frozen"
020220,Other cuts with bone in,21112,"Meat of bovine animals, frozen"
020230,Boneless,21112,"Meat of bovine animals, frozen"
020311,Fresh or chilled :-- Carcasses and half-carcasses,21113,"Meat of swine, fresh or chilled"
020312,"Fresh or chilled :-- Hams, shoulders and cuts thereof, with bone in",21113,"Meat of swine, fresh or chilled"
020319,Fresh or chilled :-- Other,21113,"Meat of swine, fresh or chilled"
020321,Frozen :-- Carcasses and half-carcasses,21114,"Meat of swine, frozen"
020322,"Frozen :-- Hams, shoulders and cuts thereof, with bone in",21114,"Meat of swine, frozen"
020329,Frozen :-- Other,21114,"Meat of swine, frozen"
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",21115,"Meat of sheep, fresh or chilled"
020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses",21115,"Meat of sheep, fresh or chilled"
020422,"Other meat of sheep, fresh or chilled :-- Other cuts with bone in",21115,"Meat of sheep, fresh or chilled"
020423,"Other meat of sheep, fresh or chilled :-- Boneless",21115,"Meat of sheep, fresh or chilled"
020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen",21116,"Meat of sheep, frozen"
020441,"Other meat of sheep, frozen :-- Carcasses and half-carcasses",21116,"Meat of sheep, frozen"
020442,"Other meat of sheep, frozen :-- Other cuts with bone in",21116,"Meat of sheep, frozen"
020443,"Other meat of sheep, frozen :-- Boneless",21116,"Meat of sheep, frozen"
020450,Meat of goats,21117,"Meat of goats, fresh, chilled or frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",21118,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,"Of bovine animals, fresh or chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020621,"Of bovine animals, frozen :-- Tongues",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020622,"Of bovine animals, frozen :-- Livers",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020629,"Of bovine animals, frozen :-- Other",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020630,"Of swine, fresh or chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020641,"Of swine, frozen :-- Livers",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020649,"Of swine, frozen :-- Other",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020680,"Other, fresh or chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020690,"Other, frozen",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020711,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020712,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020713,"Of fowls of the species Gallus domesticus :-- Cuts and offal, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020714,"Of fowls of the species Gallus domesticus :-- Cuts and offal, frozen",21122,"Meat and edible offal of poultry, frozen"
020724,"Of turkeys :-- Not cut in pieces, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020725,"Of turkeys :-- Not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020726,"Of turkeys :-- Cuts and offal, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020727,"Of turkeys :-- Cuts and offal, frozen",21122,"Meat and edible offal of poultry, frozen"
020732,"Of ducks, geese or guinea fowls :-- Not cut in pieces, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020733,"Of ducks, geese or guinea fowls :-- Not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020734,"Of ducks, geese or guinea fowls :-- Fatty livers, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020735,"Of ducks, geese or guinea fowls :-- Other, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020736,"Of ducks, geese or guinea fowls :-- Other, frozen",21122,"Meat and edible offal of poultry, frozen"
020810,Of rabbits or hares,21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020820,Frogs'legs,0294,"Snails, live, fresh, chilled, frozen, dried, salted or in brine, except sea"
020890,Other,21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
