HS - Combined  Product Code,HS - Combined  Product Description,MTN Categories Product Code,MTN Categories Product Description
440110,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms",0101,"Wood, pulp, paper & furniture, raw materials"
440121,Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
440122,Nonconiferous,0101,"Wood, pulp, paper & furniture, raw materials"
440130,"Sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",0101,"Wood, pulp, paper & furniture, raw materials"
440200,"(-2006) Wood charcoal (including shell or nut charcoal), whether or not agglomerated.",0101,"Wood, pulp, paper & furniture, raw materials"
440310,"Treated with paint, stains, creosote or other preservatives",0101,"Wood, pulp, paper & furniture, raw materials"
440320,"Other, coniferous",0101,"Wood, pulp, paper & furniture, raw materials"
440331,"(-1995) Dark Red Meranti, Light Red Meranti and Me",0101,"Wood, pulp, paper & furniture, raw materials"
440332,"(-1995) White Lauan, White Meranti, White Seraya, ",0101,"Wood, pulp, paper & furniture, raw materials"
440333,"(-1995) Keruing, Ramin, Kapur, Teak, Jongkong, Mer",0101,"Wood, pulp, paper & furniture, raw materials"
440334,"(-1995) Okoume, Obeche, Sapeli, Sipo, Acajou d'Afr",0101,"Wood, pulp, paper & furniture, raw materials"
440335,"(-1995) Tiama, Mansonia, Ilomba, Dibetou, Limba an",0101,"Wood, pulp, paper & furniture, raw materials"
440341,"(1996-) Dark Red Meranti, Light Red Meranti and Meranti Bakau",0101,"Wood, pulp, paper & furniture, raw materials"
440349,(1996-) Other,0101,"Wood, pulp, paper & furniture, raw materials"
440391,Of oak (Quercus spp.),0101,"Wood, pulp, paper & furniture, raw materials"
440392,Of beech (Fagus spp.),0101,"Wood, pulp, paper & furniture, raw materials"
440399,Other,0101,"Wood, pulp, paper & furniture, raw materials"
450110,"Natural cork, raw or simply prepared",0101,"Wood, pulp, paper & furniture, raw materials"
450190,Other,0101,"Wood, pulp, paper & furniture, raw materials"
470100,Mechanical wood pulp.,0101,"Wood, pulp, paper & furniture, raw materials"
470200,"Chemical wood pulp, dissolving grades.",0101,"Wood, pulp, paper & furniture, raw materials"
470311,Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470319,Nonconiferous,0101,"Wood, pulp, paper & furniture, raw materials"
470321,Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470329,Nonconiferous,0101,"Wood, pulp, paper & furniture, raw materials"
470411,Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470419,Nonconiferous,0101,"Wood, pulp, paper & furniture, raw materials"
470421,Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470429,Nonconiferous,0101,"Wood, pulp, paper & furniture, raw materials"
470500,Wood pulp obtained by a combination of mechanical and chemical pulping processes.,0101,"Wood, pulp, paper & furniture, raw materials"
470610,Cotton linters pulp,0101,"Wood, pulp, paper & furniture, raw materials"
470620,(1996-) Pulps of fibres derived from recovered (waste and scrap) paper or paperboard,0101,"Wood, pulp, paper & furniture, raw materials"
470691,Mechanical,0101,"Wood, pulp, paper & furniture, raw materials"
470692,Chemical,0101,"Wood, pulp, paper & furniture, raw materials"
470693,Semichemical,0101,"Wood, pulp, paper & furniture, raw materials"
470710,Unbleached kraft paper or paperboard or corrugated paper or paperboard,0101,"Wood, pulp, paper & furniture, raw materials"
470720,"Other paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",0101,"Wood, pulp, paper & furniture, raw materials"
470730,"Paper or paperboard made mainly of mechanical pulp (for example, newspapers, journals and similar printed matter)",0101,"Wood, pulp, paper & furniture, raw materials"
470790,"Other, including unsorted waste and scrap",0101,"Wood, pulp, paper & furniture, raw materials"
440410,Coniferous,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440420,Nonconiferous,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440500,Wood wool; wood flour.,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440610,Not impregnated,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440690,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440710,Coniferous,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440721,"(-1995, 2007-) Specified tropical woods (Meranti, etc) sa",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440722,"(-1995, 2007-) Specified tropical woods (OKoume..., etc) ",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440723,"(-1995) Baboen, Mahogany, Imbuia and Balsa wood, s",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440724,"(1996-2006) Virola, Mahogany (Swietenia spp.), Imbuia and Balsa",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440725,"(1996-) Dark Red Meranti, Light Red Meranti and Meranti Bakau",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440726,"(1996-) White Lauan, White Meranti, White Seraya, Yellow Meranti and Alan",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440729,(1996-) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440791,Of oak (Quercus spp.),0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440792,Of beech (Fagus spp.),0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440799,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440810,Coniferous,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440820,(-1995) Specified tropical wood veneer sheets and ,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440831,"(1996-) Dark Red Meranti, Light Red Meranti and Meranti Bakau",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440839,(1996-) Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440890,Other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
