SITC Revision 2 Product Code,SITC Revision 2 Product Description,BEC Product Code,BEC Product Description
79283,Catapults & sim.aircraft launching gear,7,Goods not elsewhere specified
7931,Warships of all kinds,7,Goods not elsewhere specified
89998,Parachutes and parts,7,Goods not elsewhere specified
9410,"Animals,live,n.e.s.,incl. zoo-animals",7,Goods not elsewhere specified
95101,Tanks and other armoured fighting vehicles,7,Goods not elsewhere specified
95102,Artillery weapons machine-guns etc.,7,Goods not elsewhere specified
95104,"Side-arms and parts,scabbards and sheaths",7,Goods not elsewhere specified
95105,Revolvers and pistols,7,Goods not elsewhere specified
95106,"Bombs,grenades,torpedoes,mines,missiles etc.",7,Goods not elsewhere specified
9610,Coin(other than gold) not being legal tender,7,Goods not elsewhere specified
0440,"Maize (corn),unmilled",21,Primary
0452,"Oats,unmilled",21,Primary
08111,"Cereal straw and husks,unprepared,or chopped",21,Primary
08112,"Mangolds,swedes,fodder roots;hay,lucerne,clover",21,Primary
08119,Products of veg.origin of a kind used for ani.food,21,Primary
12111,"Tobacco flue-cured,of the virginia type",21,Primary
12119,Tobacco other than virginia-type flue-cured,21,Primary
12121,"Tobacco flue-cured,of the virginia type",21,Primary
12129,Tobacco other than virginia-type flue-cured,21,Primary
1213,Tobacco refuse,21,Primary
2111,"Bovine & equine hides (other than calf),raw",21,Primary
2112,"Calf skins,raw (fresh,salted,dried,pickled/limed",21,Primary
2114,"Goat & kid skins,raw (fresh,salted,dried,pickled)",21,Primary
2116,"Sheep & lamb skins with wool on,raw (fresh,salted)",21,Primary
2117,"Sheep & lamb skins without the wool,raw(fresh etc)",21,Primary
21191,Parings & other waste of leather,21,Primary
21199,"Hides and skins,n.e.s.raw (fresh,salted,dried etc)",21,Primary
21201,"Mink skins,raw",21,Primary
21209,"Other furskins,raw",21,Primary
2234,Linseed,21,Primary
2235,Castor oil seeds,21,Primary
2238,Oil seeds and oleaginous fruit. n.e.s.,21,Primary
23201,"Nat.rubber latex,whether/not with add.synth.rubber",21,Primary
23202,Natural rubber (other than latex),21,Primary
23203,"Balata,gutta-percha and similar natural gums",21,Primary
23321,Reclaimed rubber,21,Primary
23322,Waste paring scrap of unhard.rubb.fit for recovery,21,Primary
24401,"Cork,natural,unworked,crushed,granulated/ground",21,Primary
24601,Pulpwood in the round or quarter-split,21,Primary
24602,Pulpwood in chips or particles,21,Primary
24603,Wood waste (including sawdust),21,Primary
24711,"Sawlogs in the rough,whether/not stripped of bark",21,Primary
24712,"Sawlogs roughly squared/half-squar.,but not manuf.",21,Primary
24721,"Sawlogs in the rough,whether/not stripped of bark",21,Primary
24722,Sawlogs roughly squared-half-squar. but not manuf.,21,Primary
2479,"Pitprops,poles,piling,posts & other wood in rough",21,Primary
2511,"Waste paper,paperboard;only for use paper-making",21,Primary
26141,Silk worm cocoons suitable for reeling,21,Primary
26142,Silk waste(incl.cocoons unsuitable for reeling)etc,21,Primary
2631,"Cotton (other than linters),not carded or combed",21,Primary
2632,Cotton linters,21,Primary
2633,Cotton waste (including pulled or garnetted rags),21,Primary
2640,"Jute & other textile bast fibres,nes,raw/processed",21,Primary
26511,"Flax,raw or retted",21,Primary
26513,Flax tow and waste (incl.pulled or garnetted rags),21,Primary
26514,"Ramie,raw/processed,not spun;ramie noils and waste",21,Primary
2652,"True hemp,raw or processed,not spun;tow and waste",21,Primary
2654,"Sisal & other fibres of agave family,raw or proce.",21,Primary
2655,"Manila hemp,raw or processed,not spun;tow & waste",21,Primary
26591,Coir and coir waste(incl.pulled or garnetted rags),21,Primary
26599,"Other veget.textile fibres,n.e.s.,raw or processed",21,Primary
26672,Synthetic fibres polyester,21,Primary
26721,Waste synthetic fibres,21,Primary
26722,Waste regenerated fibres,21,Primary
2681,"Seep's or lambs' wool,greasy or fleece-washed",21,Primary
2682,"Sheep's or lambs'wool,degreased,in the mass",21,Primary
2683,"Fine animal hair,not carded or combed",21,Primary
26851,"Horsehair & waste,whether or not put up on a layer",21,Primary
26859,"Other coarse animal hair,not carded or combed",21,Primary
26861,Waste of sheep's/lamb's not pulled or garneted,21,Primary
26862,Waste of sheep's/lamb's pulled or garnetted,21,Primary
26901,"Clothing,cloth.accessories,travel.rugs & blankets",21,Primary
26902,"Used or new rags,scrap twine,cordage,rope & cables",21,Primary
2711,Guano & other natural animal/vegetable fertilizers,21,Primary
2712,"Sodium nitrate,natural,contain.<16.3% of nitrogen",21,Primary
27131,Natural calcium phosphates unground,21,Primary
27132,Natural calcium phosphates ground,21,Primary
2714,"Potassium salts,natural,crude",21,Primary
27311,Slate(including slate only roughly worked),21,Primary
27312,"Marble,travertine,ecaussine and other calcar.stone",21,Primary
27313,"Granite,porphyry,basalt,sandstone and other stone",21,Primary
27322,Limestone flux & calcar.stone used for lime/cement,21,Primary
27323,Gypsum and anhydrite,21,Primary
2733,"Sands,natural,of all kinds,whether or not coloured",21,Primary
2734,"Pebbles and crushed or broken stone,gravel,macadam",21,Primary
2741,Sulphur of all kinds,21,Primary
2742,"Iron pyrites,unroasted",21,Primary
2771,"Industrial diamonds,sorted,whether or not worked",21,Primary
27721,Dust & powder of natural or synth.precious stones,21,Primary
27722,"Pumice stone;emery;natural corundum,nat.garnet etc",21,Primary
27821,"Clay,andalusite,kyanite,etc.whether /not clacined",21,Primary
27822,"Graphite,natural",21,Primary
27823,"Dolomite,whether or not calcined,incl.d.not worked",21,Primary
27824,"Magnesium carbonate,natur.,whether or not calcined",21,Primary
2783,"Common salt;rock sat,sea salt;pur.sodium chrloride",21,Primary
2784,Asbestos,21,Primary
27851,"Quartz,quartzite only roughly worked",21,Primary
27852,Mica (including splittings); mica waste,21,Primary
27853,"Cryolite and chiolite,natural",21,Primary
27854,"Felspar,leucite,nepheline and nepheline syenite",21,Primary
27861,"Slag,dross etc. & waste from manufac.of iron/steel",21,Primary
27862,"Slag and ash, n.e.s.(including kelp)",21,Primary
27891,Chalk,21,Primary
27892,Natural barium sulphate;natural barium carbonate,21,Primary
