HS 1996 Product Code,HS 1996 Product Description,BEC Product Code,BEC Product Description
711810,"Coin (other than gold coin), not being legal tender",7,Goods not elsewhere specified
871000,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",7,Goods not elsewhere specified
880400,Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,7,Goods not elsewhere specified
880510,Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,7,Goods not elsewhere specified
880520,Ground flying trainers and parts thereof,7,Goods not elsewhere specified
890600,"Other vessels, including warships and lifeboats other than rowing boats.",7,Goods not elsewhere specified
930100,"Military weapons, other than revolvers, pistols and the arms of heading No. 93.07.",7,Goods not elsewhere specified
930200,"Revolvers and pistols, other than those of heading No. 93.03 or 93.04.",7,Goods not elsewhere specified
930510,Of revolvers or pistols,7,Goods not elsewhere specified
930590,Other,7,Goods not elsewhere specified
930610,Cartridges for riveting or similar tools or for captive-bolt humane killers and parts thereof,7,Goods not elsewhere specified
930621,Shotgun cartridges and parts thereof; air gun pellets :-- Cartridges,7,Goods not elsewhere specified
930629,Shotgun cartridges and parts thereof; air gun pellets :-- Other,7,Goods not elsewhere specified
930630,Other cartridges and parts thereof,7,Goods not elsewhere specified
930690,Other,7,Goods not elsewhere specified
930700,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabbards and sheaths therefor.",7,Goods not elsewhere specified
050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",21,Primary
050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",21,Primary
050290,Other,21,Primary
050300,"Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",21,Primary
050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",21,Primary
050510,Feathers of a kind used for stuffing; down,21,Primary
050590,Other,21,Primary
050610,Ossein and bones treated with acid,21,Primary
050690,Other,21,Primary
050710,Ivory; ivory powder and waste,21,Primary
050790,Other,21,Primary
050800,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste there",21,Primary
050900,Natural sponges of animal origin.,21,Primary
051000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally prese",21,Primary
051110,Bovine semen,21,Primary
051191,"Other :- Egg yolks :-- Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",21,Primary
051199,Other,21,Primary
060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",21,Primary
060120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots",21,Primary
060210,Unrooted cuttings and slips,21,Primary
060220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",21,Primary
060230,"Rhododendrons and azaleas, grafted or not",21,Primary
060240,"Roses, grafted or not",21,Primary
060290,Other,21,Primary
100400,Oats.,21,Primary
100510,Seed,21,Primary
100590,Other,21,Primary
120400,"Linseed, whether or not broken.",21,Primary
120730,Castor oil seeds,21,Primary
120760,Safflower seeds,21,Primary
120791,Other :-- Poppy seeds,21,Primary
120792,Other :-- Shea nuts (karite nuts),21,Primary
120799,Other :-- Other,21,Primary
120911,Beet seed :-- Sugar beet seed,21,Primary
120919,Beet seed :-- Other,21,Primary
120921,"Seeds of forage plants, other than beet seed :-- Lucerne (alfalfa) seed",21,Primary
120922,"Seeds of forage plants, other than beet seed :-- Clover (Trifolium spp.) seed",21,Primary
120923,"Seeds of forage plants, other than beet seed :-- Fescue seed",21,Primary
120924,"Seeds of forage plants, other than beet seed :-- Kentucky blue grass (Poa pratensis L.) seed",21,Primary
120925,"Seeds of forage plants, other than beet seed :-- Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seed",21,Primary
120926,"Seeds of forage plants, other than beet seed :-- Timothy grass seed",21,Primary
120929,"Seeds of forage plants, other than beet seed :-- Other",21,Primary
120930,Seeds of herbaceous plants cultivated principally for their flowers,21,Primary
120991,Other :-- Vegetable seeds,21,Primary
120999,Other,21,Primary
121110,Liquorice roots,21,Primary
121120,Ginseng roots,21,Primary
121190,Other,21,Primary
121220,Seaweeds and other algae,21,Primary
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets.",21,Primary
121410,Lucerne (alfalfa) meal and pellets,21,Primary
121490,Other,21,Primary
130110,Lac,21,Primary
130120,Gum Arabic,21,Primary
130190,Other,21,Primary
130211,Vegetable saps and extracts :-- Opium,21,Primary
130212,Vegetable saps and extracts :-- Of liquorice,21,Primary
130213,Vegetable saps and extracts :-- Of hops,21,Primary
130214,Vegetable saps and extracts :-- Of pyrethrum or of the roots of plants containing rotenone,21,Primary
130219,Vegetable saps and extracts :-- Other,21,Primary
130220,"Pectic substances, pectinates and pectates",21,Primary
140110,Bamboos,21,Primary
140120,Rattans,21,Primary
140190,Other,21,Primary
140210,Kapok,21,Primary
140290,Other,21,Primary
140310,Broomcorn (Sorghum vulgare var.technicum),21,Primary
140390,Other,21,Primary
140410,Raw vegetable materials of a kind used primarily in dyeing or tanning,21,Primary
140420,Cotton linters,21,Primary
140490,Other,21,Primary
152200,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,21,Primary
230810,Acorns and horse-chestnuts,21,Primary
230890,Other,21,Primary
240110,"Tobacco, not stemmed/stripped",21,Primary
240120,"Tobacco, partly or wholly stemmed/stripped",21,Primary
240130,Tobacco refuse,21,Primary
250100,"Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water.",21,Primary
250200,Unroasted iron pyrites.,21,Primary
250300,"Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur.",21,Primary
250410,In powder or in flakes,21,Primary
250490,Other,21,Primary
250510,Silica sands and quartz sands,21,Primary
250590,Other,21,Primary
250610,Quartz,21,Primary
250621,Quartzite :-- Crude or roughly trimmed,21,Primary
250629,Quartzite :-- Other,21,Primary
250700,"Kaolin and other kaolinic clays, whether or not calcined.",21,Primary
250810,Bentonite,21,Primary
250820,Decolourising earths and fuller's earth,21,Primary
250830,Fire-clay,21,Primary
250840,Other clays,21,Primary
250850,"Andalusite, kyanite and sillimanite",21,Primary
250860,Mullite,21,Primary
250870,Chamotte or dinas earths,21,Primary
250900,Chalk.,21,Primary
251010,Unground,21,Primary
251020,Ground,21,Primary
251110,Natural barium sulphate (barytes),21,Primary
251120,Natural barium carbonate (witherite),21,Primary
251200,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less.",21,Primary
251311,"Pumice stone :-- Crude or in irregular pieces, including crushed pumice (bimskies)",21,Primary
251319,Pumice stone :-- Other,21,Primary
251320,"Emery, natural corundum, natural garnet and other natural abrasives",21,Primary
251400,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",21,Primary
251511,Marble and travertine :-- Crude or roughly trimmed,21,Primary
251512,"Marble and travertine :-- Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",21,Primary
251520,Ecaussine and other calcareous monumental or building stone; alabaster,21,Primary
251611,Granite :-- Crude or roughly trimmed,21,Primary
251612,"Granite :-- Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",21,Primary
251621,Sandstone :-- Crude or roughly trimmed,21,Primary
251622,"Sandstone :-- Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",21,Primary
251690,Other monumental or building stone,21,Primary
251710,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated",21,Primary
251720,"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading No. 2517.10",21,Primary
251730,Tarred macadam,21,Primary
251741,"Granules, chippings and powder, of stones of heading No. 25.15 or 25.16, whether or not heat-treated :-- Of marble",21,Primary
251749,"Granules, chippings and powder, of stones of heading No. 25.15 or 25.16, whether or not heat-treated :-- Other",21,Primary
251810,Dolomite not calcined,21,Primary
251820,Calcined dolomite,21,Primary
251830,Agglomerated dolomite (including tarred dolomite),21,Primary
251910,Natural magnesium carbonate (magnesite),21,Primary
251990,Other,21,Primary
252010,Gypsum; anhydrite,21,Primary
252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement.",21,Primary
252400,Asbestos.,21,Primary
252510,Crude mica and mica rifted into sheets or splittings,21,Primary
252520,Mica powder,21,Primary
252530,Mica waste,21,Primary
252610,"Not crushed, not powdered",21,Primary
252620,Crushed or powdered,21,Primary
252700,Natural cryolite; natural chiolite.,21,Primary
252810,Natural sodium borates and concentrates thereof (whether or not calcined),21,Primary
252890,Other,21,Primary
252910,Felspar,21,Primary
252921,Fluorspar :-- Containing by weight 97 % or less of calcium fluoride,21,Primary
252922,Fluorspar :-- Containing by weight more than 97 % of calcium fluoride,21,Primary
252930,Leucite; nepheline and nepheline syenite,21,Primary
253010,"Vermiculite, perlite and chlorites, unexpanded",21,Primary
253020,"Kieserite, epsomite (natural magnesium sulphates)",21,Primary
253040,Natural micaceous iron oxides,21,Primary
253090,Other,21,Primary
260111,"Iron ores and concentrates, other than roasted iron pyrites :-- Non-agglomerated",21,Primary
260112,"Iron ores and concentrates, other than roasted iron pyrites :-- Agglomerated",21,Primary
260120,Roasted iron pyrites,21,Primary
260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight.",21,Primary
260300,Copper ores and concentrates.,21,Primary
260400,Nickel ores and concentrates.,21,Primary
260500,Cobalt ores and concentrates.,21,Primary
260600,Aluminium ores and concentrates.,21,Primary
260700,Lead ores and concentrates.,21,Primary
260800,Zinc ores and concentrates.,21,Primary
260900,Tin ores and concentrates.,21,Primary
261000,Chromium ores and concentrates.,21,Primary
261100,Tungsten ores and concentrates.,21,Primary
261210,Uranium ores and concentrates,21,Primary
261220,Thorium ores and concentrates,21,Primary
261310,Roasted,21,Primary
261390,Other,21,Primary
261400,Titanium ores and concentrates.,21,Primary
261510,Zirconium ores and concentrates,21,Primary
261590,Other,21,Primary
261610,Silver ores and concentrates,21,Primary
261690,Other,21,Primary
261710,Antimony ores and concentrates,21,Primary
261790,Other,21,Primary
261800,Granulated slag (slag sand) from the manufacture of iron or steel.,21,Primary
261900,"Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel.",21,Primary
262011,Containing mainly zinc :-- Hard zinc spelter,21,Primary
262019,Containing mainly zinc :-- Other,21,Primary
262020,Containing mainly lead,21,Primary
262030,Containing mainly copper,21,Primary
262040,Containing mainly aluminium,21,Primary
262050,Containing mainly vanadium,21,Primary
262090,Other,21,Primary
262100,"Other slag and ash, including seaweed ash (kelp).",21,Primary
271410,Bituminous or oil shale and tar sands,21,Primary
271490,Other,21,Primary
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products.",21,Primary
310250,Sodium nitrate,21,Primary
310410,"Carnallite, sylvite and other crude natural potassium salts",21,Primary
400110,"Natural rubber latex, whether or not pre-vulcanised",21,Primary
400121,Natural rubber in other forms :-- Smoked sheets,21,Primary
400122,Natural rubber in other forms :-- Technically specified natural rubber (TSNR),21,Primary
400129,Natural rubber in other forms :-- Other,21,Primary
400130,"Balata, gutta-percha, guayule, chicle and similar natural gums",21,Primary
400300,"Reclaimed rubber in primary forms or in plates, sheets or strip.",21,Primary
400400,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.",21,Primary
410110,"Whole hides and skins of bovine animals, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when dry-salted, or 14 kg when fresh, wet-salted or otherwise preserved",21,Primary
410121,"Other hides and skins of bovine animals, fresh or wet-salted :-- Whole",21,Primary
410122,"Other hides and skins of bovine animals, fresh or wet-salted :-- Butts and bends",21,Primary
410129,"Other hides and skins of bovine animals, fresh or wet-salted :-- Other",21,Primary
410130,"Other hides and skins of bovine animals, otherwise preserved",21,Primary
410140,Hides and skins of equine animals,21,Primary
410210,With wool on,21,Primary
410221,Without wool on :-- Pickled,21,Primary
410229,Without wool on :-- Other,21,Primary
410310,Of goats or kids,21,Primary
410320,Of reptiles,21,Primary
410390,Other,21,Primary
411000,"Parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour.",21,Primary
430110,"Of mink, whole, with or without head, tail or paws",21,Primary
430120,"Of rabbit or hare, whole, with or without head, tail or paws",21,Primary
430130,"Of lamb, the following : Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb, whole, with or without head, tail or paws",21,Primary
430140,"Of beaver, whole, with or without head, tail or paws",21,Primary
430150,"Of musk-rat, whole, with or without head, tail or paws",21,Primary
430160,"Of fox, whole, with or without head, tail or paws",21,Primary
430170,"Of seal, whole, with or without head, tail or paws",21,Primary
430180,"Other furskins, whole, with or without head, tail or paws",21,Primary
430190,"Heads, tails, paws and other pieces or cuttings, suitable for furriers' use",21,Primary
440121,Wood in chips or particles :-- Coniferous,21,Primary
440122,Wood in chips or particles :-- Non-coniferous,21,Primary
440130,"Sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",21,Primary
