HS 1988/92 Product Code,HS 1988/92 Product Description,BEC Product Code,BEC Product Description
711810,Coin (other than gold coin) not being legal ten,7,Goods not elsewhere specified
871000,"Tanks and other armoured fighting vehicles, mot",7,Goods not elsewhere specified
880400,Parachutes and parts and accessories thereof,7,Goods not elsewhere specified
880510,Aircraft launching and deck-arrestor gear and p,7,Goods not elsewhere specified
880520,Flight simulators and parts thereof,7,Goods not elsewhere specified
890600,"Warships, lifeboats, hospital ships and vessels",7,Goods not elsewhere specified
930100,"Military weapons,oth than revolvers,pistols and",7,Goods not elsewhere specified
930200,"Revolvers and pistols, other than those of head",7,Goods not elsewhere specified
930510,Parts and accessories of revolvers or pistols o,7,Goods not elsewhere specified
930590,Parts and accessories nes of heading Nos 93.01,7,Goods not elsewhere specified
930610,Cartridges for riveting or sim tools or for cap,7,Goods not elsewhere specified
930621,"Cartridges, shotgun",7,Goods not elsewhere specified
930629,Air gun pellets and parts of shotgun cartridges,7,Goods not elsewhere specified
930630,Cartridges nes and parts thereof,7,Goods not elsewhere specified
930690,Munitions of war&pts thereof and oth ammunition,7,Goods not elsewhere specified
930700,"Swords,cutlasses,bayonets,lances&sim arms&parts",7,Goods not elsewhere specified
050100,"Human hair and waste, unworked",21,Primary
050210,"Pigs', hogs', or boars' bristles or hair",21,Primary
050290,Badger and other brush making hair,21,Primary
050300,Horsehair and waste,21,Primary
050400,"Guts, bladders and stomachs of animals (excl. f",21,Primary
050510,Raw feathers for stuffing; down,21,Primary
050590,Skins and parts of birds (excl. feathers for st,21,Primary
050610,Ossein and bones treated with acid,21,Primary
050690,Bones and horn-cores (excl. ossein...),21,Primary
050710,"Ivory, its powder and waste, unworked",21,Primary
050790,"Tortoise-shell, whalebone and whalebone-hair, e",21,Primary
050800,"Coral; shells of molluscs, crustaceans, unworke",21,Primary
050900,Natural sponges of animal origin,21,Primary
051000,"Ambergris, castoreum, civet and musk; cantharid",21,Primary
051110,Bovine semen,21,Primary
051191,"Products of fish, etc; dead animals of Chapter",21,Primary
051199,"Animal products, nes; dead animals of Chapter 1",21,Primary
060110,"Dormant bulbs, tubers... rhizomes",21,Primary
060120,"Bulbs, tubers... rhizomes in growth or flower;",21,Primary
060210,Unrooted cuttings and slips,21,Primary
060220,"Trees,shrubs,bushes,grafted or not,of kinds whi",21,Primary
060230,Rhododendrons and azaleas,21,Primary
060240,Roses,21,Primary
060291,Mushroom spawn,21,Primary
060299,"Other live plants, nes",21,Primary
100400,Oats,21,Primary
100510,Maize seed,21,Primary
100590,Maize (excl. seed),21,Primary
120400,Linseed,21,Primary
120730,Castor oil seeds,21,Primary
120760,Safflower seeds,21,Primary
120791,Poppy seeds,21,Primary
120792,Shea nuts (karite nuts),21,Primary
120799,"Other oil seeds and oleaginous fruits, nes",21,Primary
