HS 1996 Product Code,HS 1996 Product Description,MTN Categories Product Code,MTN Categories Product Description
440110,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms",0101,"Wood, pulp, paper & furniture, raw materials"
440121,Wood in chips or particles :-- Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
440122,Wood in chips or particles :-- Non-coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
440130,"Sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",0101,"Wood, pulp, paper & furniture, raw materials"
440200,"Wood charcoal (including shell or nut charcoal), whether or not agglomerated.",0101,"Wood, pulp, paper & furniture, raw materials"
440310,"Treated with paint, stains, creosote or other preservatives",0101,"Wood, pulp, paper & furniture, raw materials"
440320,"Other, coniferous",0101,"Wood, pulp, paper & furniture, raw materials"
440341,"Other, of tropical wood specified in Subheading Note 1 to this Chapter :-- Dark Red Meranti, Light Red Meranti and Meranti Bakau",0101,"Wood, pulp, paper & furniture, raw materials"
440349,"Other, of tropical wood specified in Subheading Note 1 to this Chapter :-- Other",0101,"Wood, pulp, paper & furniture, raw materials"
440391,Other :-- Of oak (Quercus spp.),0101,"Wood, pulp, paper & furniture, raw materials"
440392,Other :-- Of beech (Fagus spp.),0101,"Wood, pulp, paper & furniture, raw materials"
440399,Other,0101,"Wood, pulp, paper & furniture, raw materials"
450110,"Natural cork, raw or simply prepared",0101,"Wood, pulp, paper & furniture, raw materials"
450190,Other,0101,"Wood, pulp, paper & furniture, raw materials"
470100,Mechanical wood pulp.,0101,"Wood, pulp, paper & furniture, raw materials"
470200,"Chemical wood pulp, dissolving grades.",0101,"Wood, pulp, paper & furniture, raw materials"
470311,Unbleached :-- Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470319,Unbleached :-- Non-coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470321,Semi-bleached or bleached :-- Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470329,Semi-bleached or bleached :-- Non-coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470411,Unbleached :-- Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470419,Unbleached :-- Non-coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470421,Semi-bleached or bleached :-- Coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470429,Semi-bleached or bleached :-- Non-coniferous,0101,"Wood, pulp, paper & furniture, raw materials"
470500,Semi-chemical wood pulp.,0101,"Wood, pulp, paper & furniture, raw materials"
470610,Cotton linters pulp,0101,"Wood, pulp, paper & furniture, raw materials"
470620,Pulps of fibres derived from recovered (waste and scrap) paper or paperboard,0101,"Wood, pulp, paper & furniture, raw materials"
470691,Other :-- Mechanical,0101,"Wood, pulp, paper & furniture, raw materials"
470692,Other :-- Chemical,0101,"Wood, pulp, paper & furniture, raw materials"
470693,Other :-- Semi-chemical,0101,"Wood, pulp, paper & furniture, raw materials"
470710,Unbleached kraft paper or paperboard or corrugated paper or paperboard,0101,"Wood, pulp, paper & furniture, raw materials"
470720,"Other paper or paperboard made mainly of bleached chemical pulp, not coloured in the mass",0101,"Wood, pulp, paper & furniture, raw materials"
470730,"Paper or paperboard made mainly of mechanical pulp (for example, newspapers, journals and similar printed matter)",0101,"Wood, pulp, paper & furniture, raw materials"
470790,"Other, including unsorted waste and scrap",0101,"Wood, pulp, paper & furniture, raw materials"
440410,Coniferous,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440420,Non-coniferous,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
