HS 1988/92 Product Code,HS 1988/92 Product Description,CCCN Product Code,CCCN Product Description
010111,Live pure bred breeding horses,0101,"Live horses, asses, mules and hinnies"
010119,"Live horses, other than for pure-bred breeding",0101,"Live horses, asses, mules and hinnies"
010120,Live asses mules and hinnies,0101,"Live horses, asses, mules and hinnies"
010210,Live pure-bred breeding bovine animals,0102A,"Bovine species,live -- pure bred for breeding"
010290,"Live bovine animals, other than pure-bred breed",0102B,"Bovine species,live -- othr than for breeding"
010310,Live pure-bred breeding swine,0103,Live swine
010391,Live swine weighing <50kg (excl. pure-bred bree,0103,Live swine
010392,Live swine weighing >=50kg (excl. pure-bred bre,0103,Live swine
010410,Live sheep,0104A,"Sheep,live"
010420,Live goats,0104B,"Goats,live"
010511,"Live fowls of species Gallus domesticus, weighi",0105A,Live poultry less 185 gr
010519,"Live ducks, geese, turkeys and guinea fowls, we",0105A,Live poultry less 185 gr
010591,Live fowls of species Gallus domesticus (chicke,0105B,Live poultry over 185 gr
010599,"Live ducks, geese, turkeys and guinea fowls, we",0105B,Live poultry over 185 gr
010600,"Other live animals, nes",0106B,"Zoo animals,pets"
020110,Fresh or chilled bovine carcasses and half carc,0201A,Bovine meat with bone in
020120,Fresh or chilled unboned bovine meat (excl. car,0201A,Bovine meat with bone in
020130,Fresh or chilled boneless bovine meat,0201B,Bovine meat boneless
020210,Frozen bovine carcasses and half carcasses,0201A,Bovine meat with bone in
020220,Frozen unboned bovine meat (excl. carcasses),0201A,Bovine meat with bone in
020230,Frozen boneless bovine meat,0201B,Bovine meat boneless
020311,Fresh or chilled swine carcasses and half carca,0201D,"Pig meat fresh,chilled,frozen"
020312,"Fresh or chilled unboned hams, shoulders and cu",0201D,"Pig meat fresh,chilled,frozen"
020319,"Fresh or chilled swine meat, nes (unboned)",0201D,"Pig meat fresh,chilled,frozen"
020321,Frozen swine carcasses and half carcasses,0201D,"Pig meat fresh,chilled,frozen"
020322,"Frozen unboned hams, shoulders and cuts thereof",0201D,"Pig meat fresh,chilled,frozen"
020329,"Frozen swine meat, nes",0201D,"Pig meat fresh,chilled,frozen"
020410,Fresh or chilled lamb carcasses and half carcas,0201C,"Mutton etc fresh,chilled,frozen"
020421,Fresh or chilled sheep carcasses and half carca,0201C,"Mutton etc fresh,chilled,frozen"
020422,Fresh or chilled unboned meat of sheep,0201C,"Mutton etc fresh,chilled,frozen"
020423,Fresh or chilled boneless meat of sheep,0201C,"Mutton etc fresh,chilled,frozen"
020430,Frozen lamb carcasses and half carcasses,0201C,"Mutton etc fresh,chilled,frozen"
020441,Frozen sheep carcasses and half carcasses (excl,0201C,"Mutton etc fresh,chilled,frozen"
020442,Frozen unboned meat of sheep,0201C,"Mutton etc fresh,chilled,frozen"
020443,Frozen boned meat of sheep,0201C,"Mutton etc fresh,chilled,frozen"
020450,"Fresh, chilled or frozen goat meat",0201C,"Mutton etc fresh,chilled,frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh,",0201E,"Horse meat fresh,chilled,frozen"
020610,Fresh or chilled edible bovine offal,0201F,"Edible offal fresh,chilled,frozen"
020621,Frozen bovine tongues,0201F,"Edible offal fresh,chilled,frozen"
020622,Frozen bovine livers,0201F,"Edible offal fresh,chilled,frozen"
020629,Frozen edible bovine offal (excl. tongues and l,0201F,"Edible offal fresh,chilled,frozen"
020630,Fresh or chilled edible swine offal,0201F,"Edible offal fresh,chilled,frozen"
020641,Frozen swine livers,0201F,"Edible offal fresh,chilled,frozen"
020649,Frozen edible swine offal (excl. livers),0201F,"Edible offal fresh,chilled,frozen"
020680,"Fresh or chilled edible offal of sheep, goats,",0201F,"Edible offal fresh,chilled,frozen"
020690,"Frozen edible offal of sheep, goats, horses...",0201F,"Edible offal fresh,chilled,frozen"
020710,Fresh or chilled whole poultry,0202,"Poultry fresh,chilled,frozen"
020721,Frozen whole chickens,0202,"Poultry fresh,chilled,frozen"
020722,Frozen whole turkeys,0202,"Poultry fresh,chilled,frozen"
020723,"Frozen whole ducks, geese and guinea fowls",0202,"Poultry fresh,chilled,frozen"
020731,Fresh or chilled fatty livers of geese or ducks,0203,"Poultry liver fresh,etc"
020739,Fresh or chilled poultry cuts and offal (excl.,0202,"Poultry fresh,chilled,frozen"
020741,Frozen cuts and offal of chicken (excl. livers),0202,"Poultry fresh,chilled,frozen"
020742,Frozen cuts and offal of turkey (excl. livers),0202,"Poultry fresh,chilled,frozen"
020743,"Frozen cuts and offal of geese, ducks and guine",0202,"Poultry fresh,chilled,frozen"
020750,Frozen poultry livers,0203,"Poultry liver fresh,etc"
020810,"Fresh, chilled or frozen meat and edible offal",0204,"Other meat nes fresh,etc"
020820,"Fresh, chilled or frozen frogs' legs",0204,"Other meat nes fresh,etc"
020890,"Fresh, chilled or frozen meat and edible offal,",0204,"Other meat nes fresh,etc"
020900,"Pig and poultry fat, fresh, chilled, frozen, sa",0205,"Pig,poultry fat not rendered"
021011,"Unboned swine hams, shoulders and cuts thereof,",0206A,"Pig meat dried,salted,smoked"
021012,"Bellies and cuts thereof of swine, salted... or",0206A,"Pig meat dried,salted,smoked"
021019,"Meat of swine, salted... or smoked, nes",0206A,"Pig meat dried,salted,smoked"
021020,"Meat of bovine animals, salted... or smoked",0206B,"Meat nes dried,salted,smoked"
021090,"Other meat, nes, salted... or smoked; flours an",1602,"Other prepared,presrved meat"
030110,Live ornamental fish,0301A,"Fish fresh,chilled,excluding fillets"
030191,Live trout,0301A,"Fish fresh,chilled,excluding fillets"
030192,Live eels,0301A,"Fish fresh,chilled,excluding fillets"
030193,Live carp,0301A,"Fish fresh,chilled,excluding fillets"
030199,Other live fish,0301A,"Fish fresh,chilled,excluding fillets"
030211,Fresh or chilled trout,0301A,"Fish fresh,chilled,excluding fillets"
030212,"Fresh or chilled Pacific, Atlantic and Danube s",0301A,"Fish fresh,chilled,excluding fillets"
030219,Fresh or chilled salmonidae (excl. 0302.11 and,0301A,"Fish fresh,chilled,excluding fillets"
030221,Fresh or chilled halibut,0301A,"Fish fresh,chilled,excluding fillets"
030222,Fresh or chilled plaice,0301A,"Fish fresh,chilled,excluding fillets"
030223,Fresh or chilled sole,0301A,"Fish fresh,chilled,excluding fillets"
030229,"Fresh or chilled flat fish (excl. halibut, plai",0301A,"Fish fresh,chilled,excluding fillets"
030231,Fresh or chilled albacore or longfinned tunas,0301A,"Fish fresh,chilled,excluding fillets"
030232,Fresh or chilled yellowfin tunas,0301A,"Fish fresh,chilled,excluding fillets"
030233,Fresh or chilled skipjack or stripe-bellied bon,0301A,"Fish fresh,chilled,excluding fillets"
030239,"Fresh or chilled tunas, nes",0301A,"Fish fresh,chilled,excluding fillets"
030240,Fresh or chilled herrings (excl. livers and roe,0301A,"Fish fresh,chilled,excluding fillets"
030250,Fresh or chilled cod (excl. livers and roes),0301A,"Fish fresh,chilled,excluding fillets"
030261,"Fresh or chilled sardines, brisling or sparts",0301A,"Fish fresh,chilled,excluding fillets"
030262,Fresh or chilled haddock,0301A,"Fish fresh,chilled,excluding fillets"
030263,Fresh or chilled coalfish,0301A,"Fish fresh,chilled,excluding fillets"
030264,Fresh or chilled mackerel,0301A,"Fish fresh,chilled,excluding fillets"
030265,Fresh or chilled dogfish and other sharks,0301A,"Fish fresh,chilled,excluding fillets"
