HS 1988/92 Product Code,HS 1988/92 Product Description,CPC Product Code,CPC Product Description
010111,Live pure bred breeding horses,02113,"Horses, asses, mules and hinnies, live"
010119,"Live horses, other than for pure-bred breeding",02113,"Horses, asses, mules and hinnies, live"
010120,Live asses mules and hinnies,02113,"Horses, asses, mules and hinnies, live"
010210,Live pure-bred breeding bovine animals,02111,"Bovine cattle, live"
010290,"Live bovine animals, other than pure-bred breed",02111,"Bovine cattle, live"
010310,Live pure-bred breeding swine,02121,"Swine, live"
010391,Live swine weighing <50kg (excl. pure-bred bree,02121,"Swine, live"
010392,Live swine weighing >=50kg (excl. pure-bred bre,02121,"Swine, live"
010410,Live sheep,02112,"Sheep and goats, live"
010420,Live goats,02112,"Sheep and goats, live"
010511,"Live fowls of species Gallus domesticus, weighi",02122,"Poultry, live"
010519,"Live ducks, geese, turkeys and guinea fowls, we",02122,"Poultry, live"
010591,Live fowls of species Gallus domesticus (chicke,02122,"Poultry, live"
010599,"Live ducks, geese, turkeys and guinea fowls, we",02122,"Poultry, live"
010600,"Other live animals, nes",02129,Other live animals
020110,Fresh or chilled bovine carcasses and half carc,21111,"Meat of bovine animals, fresh or chilled"
020120,Fresh or chilled unboned bovine meat (excl. car,21111,"Meat of bovine animals, fresh or chilled"
020130,Fresh or chilled boneless bovine meat,21111,"Meat of bovine animals, fresh or chilled"
020210,Frozen bovine carcasses and half carcasses,21112,"Meat of bovine animals, frozen"
020220,Frozen unboned bovine meat (excl. carcasses),21112,"Meat of bovine animals, frozen"
020230,Frozen boneless bovine meat,21112,"Meat of bovine animals, frozen"
020311,Fresh or chilled swine carcasses and half carca,21113,"Meat of swine, fresh or chilled"
020312,"Fresh or chilled unboned hams, shoulders and cu",21113,"Meat of swine, fresh or chilled"
020319,"Fresh or chilled swine meat, nes (unboned)",21113,"Meat of swine, fresh or chilled"
020321,Frozen swine carcasses and half carcasses,21114,"Meat of swine, frozen"
020322,"Frozen unboned hams, shoulders and cuts thereof",21114,"Meat of swine, frozen"
020329,"Frozen swine meat, nes",21114,"Meat of swine, frozen"
020410,Fresh or chilled lamb carcasses and half carcas,21115,"Meat of sheep, fresh or chilled"
020421,Fresh or chilled sheep carcasses and half carca,21115,"Meat of sheep, fresh or chilled"
020422,Fresh or chilled unboned meat of sheep,21115,"Meat of sheep, fresh or chilled"
020423,Fresh or chilled boneless meat of sheep,21115,"Meat of sheep, fresh or chilled"
020430,Frozen lamb carcasses and half carcasses,21116,"Meat of sheep, frozen"
020441,Frozen sheep carcasses and half carcasses (excl,21116,"Meat of sheep, frozen"
020442,Frozen unboned meat of sheep,21116,"Meat of sheep, frozen"
020443,Frozen boned meat of sheep,21116,"Meat of sheep, frozen"
020450,"Fresh, chilled or frozen goat meat",21117,"Meat of goats, fresh, chilled or frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh,",21118,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,Fresh or chilled edible bovine offal,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020621,Frozen bovine tongues,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020622,Frozen bovine livers,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020629,Frozen edible bovine offal (excl. tongues and l,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020630,Fresh or chilled edible swine offal,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020641,Frozen swine livers,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020649,Frozen edible swine offal (excl. livers),21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020680,"Fresh or chilled edible offal of sheep, goats,",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020690,"Frozen edible offal of sheep, goats, horses...",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020710,Fresh or chilled whole poultry,21121,"Meat and edible offal of poultry, fresh or chilled"
020721,Frozen whole chickens,21122,"Meat and edible offal of poultry, frozen"
020722,Frozen whole turkeys,21122,"Meat and edible offal of poultry, frozen"
020723,"Frozen whole ducks, geese and guinea fowls",21122,"Meat and edible offal of poultry, frozen"
020731,Fresh or chilled fatty livers of geese or ducks,21121,"Meat and edible offal of poultry, fresh or chilled"
020739,Fresh or chilled poultry cuts and offal (excl.,21121,"Meat and edible offal of poultry, fresh or chilled"
020741,Frozen cuts and offal of chicken (excl. livers),21122,"Meat and edible offal of poultry, frozen"
020742,Frozen cuts and offal of turkey (excl. livers),21122,"Meat and edible offal of poultry, frozen"
020743,"Frozen cuts and offal of geese, ducks and guine",21122,"Meat and edible offal of poultry, frozen"
020750,Frozen poultry livers,21122,"Meat and edible offal of poultry, frozen"
020810,"Fresh, chilled or frozen meat and edible offal",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020820,"Fresh, chilled or frozen frogs' legs",0294,"Snails, live, fresh, chilled, frozen, dried, salted or in brine, except sea"
020890,"Fresh, chilled or frozen meat and edible offal,",21129,"Other meat and edible offal, fresh, chilled or frozen (including rabbit"
020900,"Pig and poultry fat, fresh, chilled, frozen, sa",21611,"Fats of bovine animals, sheep, goats, pigs and poultry, raw or rendered"
