HS 2007 Product Code,HS 2007 Product Description,HS 1988/92 Product Code,HS 1988/92 Product Description
010110,Live horses/asses/mules/hinnies: pure-bred breeding animals,010111,Live pure bred breeding horses
010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,010120,Live asses mules and hinnies
010210,Live bovine animals: pure-bred breeding animals,010210,Live pure-bred breeding bovine animals
010290,Live bovine animals other than pure-bred breeding animals,010290,"Live bovine animals, other than pure-bred breed"
010310,Live swine: pure-bred breeding animals,010310,Live pure-bred breeding swine
010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",010391,Live swine weighing <50kg (excl. pure-bred bree
010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",010392,Live swine weighing >=50kg (excl. pure-bred bre
010410,Live sheep,010410,Live sheep
010420,Live goats,010420,Live goats
010511,"Live fowls of species Gallus domesticus, weighing not >185g",010511,"Live fowls of species Gallus domesticus, weighi"
010512,"Live turkeys, weighing not >185g",010519,"Live ducks, geese, turkeys and guinea fowls, we"
010519,"Live ducks/geese/guinea fowls, weighing not >185g",010519,"Live ducks, geese, turkeys and guinea fowls, we"
010594,"Live fowls of species Gallus domesticus, weighing > 185g",010591,Live fowls of species Gallus domesticus (chicke
010599,"Live ducks/geese/turkeys/guinea fowls, weighing >185g",010599,"Live ducks, geese, turkeys and guinea fowls, we"
010611,Live primates,010600,"Other live animals, nes"
010612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia),010600,"Other live animals, nes"
010619,"Live mammals, n.e.s.",010600,"Other live animals, nes"
010620,"Live reptiles, incl. snakes & turtles",010600,"Other live animals, nes"
010631,Live birds of prey,010600,"Other live animals, nes"
010632,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",010600,"Other live animals, nes"
010639,Live birds (excl. of 0106.31 & 0106.32),010600,"Other live animals, nes"
010690,"Live animals, n.e.s.",010600,"Other live animals, nes"
020110,"Carcasses/half-carcasses of bovine animals, fresh/chilled",020110,Fresh or chilled bovine carcasses and half carc
020120,"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in",020120,Fresh or chilled unboned bovine meat (excl. car
020130,"Meat of bovine animals, fresh/chilled, boneless",020130,Fresh or chilled boneless bovine meat
020210,"Carcasses/half-carcasses of bovine animals, frozen",020210,Frozen bovine carcasses and half carcasses
020220,"Meat of bovine animals, frozen (excl. of 0202.10), bone-in",020220,Frozen unboned bovine meat (excl. carcasses)
020230,"Meat of bovine animals, frozen, boneless",020230,Frozen boneless bovine meat
020311,"Carcasses/half-carcasses of swine, fresh/chilled",020311,Fresh or chilled swine carcasses and half carca
020312,"Hams, shoulders & cuts thereof , fresh/chilled, bone-in",020312,"Fresh or chilled unboned hams, shoulders and cu"
020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",020319,"Fresh or chilled swine meat, nes (unboned)"
020321,"Carcasses/half-carcasses of swine, frozen",020321,Frozen swine carcasses and half carcasses
020322,"Hams, shoulders & cuts thereof , frozen, bone-in",020322,"Frozen unboned hams, shoulders and cuts thereof"
020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",020329,"Frozen swine meat, nes"
020410,"Carcasses/half-carcasses of lamb, fresh/chilled",020410,Fresh or chilled lamb carcasses and half carcas
020421,"Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled",020421,Fresh or chilled sheep carcasses and half carca
020422,"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in",020422,Fresh or chilled unboned meat of sheep
