HS - Combined  Product Code,HS - Combined  Product Description,BEC Product Code,BEC Product Description
711810,"Coin (other than gold coin), not being legal tender",7,Goods not elsewhere specified
871000,"Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",7,Goods not elsewhere specified
880400,Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,7,Goods not elsewhere specified
880510,Aircraft launching gear and parts thereof; deckarrestor or similar gear and parts thereof,7,Goods not elsewhere specified
880520,(-2001) Ground flying trainers and parts thereof,7,Goods not elsewhere specified
880521,(2002-) Air combat simulators and parts thereof,7,Goods not elsewhere specified
880529,(2002-) Other,7,Goods not elsewhere specified
890600,"(-2001) Other vessels, including warships and lifeboats ot",7,Goods not elsewhere specified
890610,(2002-) Warships,7,Goods not elsewhere specified
890690,(2002-) Other,7,Goods not elsewhere specified
930100,"(-2001) Military weapons, other than revolvers, pistols an",7,Goods not elsewhere specified
930111,(2002-) Selfpropelled,7,Goods not elsewhere specified
930119,(2002-) Other,7,Goods not elsewhere specified
930120,(2002-) Rocket launchers; flamethrowers; grenade launchers; torpedo tubes and similar projectors,7,Goods not elsewhere specified
930190,(2002-) Other,7,Goods not elsewhere specified
930200,"Revolvers and pistols, other than those of heading 93.03 or 93.04.",7,Goods not elsewhere specified
930510,Of revolvers or pistols,7,Goods not elsewhere specified
930590,(-2001) Other,7,Goods not elsewhere specified
930591,(2002-) Of military weapons of heading 93.01,7,Goods not elsewhere specified
930599,(2002-) Other,7,Goods not elsewhere specified
930610,(-2006) Cartridges for riveting or similar tools or for captivebolt humane killers and parts thereof,7,Goods not elsewhere specified
930621,Cartridges,7,Goods not elsewhere specified
930629,Other,7,Goods not elsewhere specified
930630,Other cartridges and parts thereof,7,Goods not elsewhere specified
930690,Other,7,Goods not elsewhere specified
930700,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabbards and sheaths therefor.",7,Goods not elsewhere specified
050100,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",21,Primary
050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",21,Primary
050290,Other,21,Primary
050300,"(-2006) Horsehair and horsehair waste, whether or not put up as a layer with or without supporting material.",21,Primary
050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked.",21,Primary
050510,Feathers of a kind used for stuffing; down,21,Primary
050590,Other,21,Primary
050610,Ossein and bones treated with acid,21,Primary
050690,Other,21,Primary
050710,Ivory; ivory powder and waste,21,Primary
050790,Other,21,Primary
050800,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape, powder and waste thereof.",21,Primary
050900,(-2006) Natural sponges of animal origin.,21,Primary
051000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved.",21,Primary
051110,Bovine semen,21,Primary
051191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",21,Primary
051199,Other,21,Primary
060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",21,Primary
060120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots",21,Primary
060210,Unrooted cuttings and slips,21,Primary
060220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",21,Primary
060230,"Rhododendrons and azaleas, grafted or not",21,Primary
060240,"Roses, grafted or not",21,Primary
060290,(1996-) Other,21,Primary
060291,(-1995) Mushroom spawn,21,Primary
060299,"(-1995) Other live plants, nes",21,Primary
100400,Oats.,21,Primary
100510,Seed,21,Primary
100590,Other,21,Primary
120400,"Linseed, whether or not broken.",21,Primary
120730,(-2006) Castor oil seeds,21,Primary
120760,(-2006) Safflower seeds,21,Primary
120791,Poppy seeds,21,Primary
120792,(-2001) Other :-- Shea nuts (karite nuts),21,Primary
120799,Other,21,Primary
120910,(2002-) Sugar beet seed,21,Primary
120911,(-2001) Beet seed :-- Sugar beet seed,21,Primary
120919,(-2001) Beet seed :-- Other,21,Primary
120921,Lucerne (alfalfa) seed,21,Primary
120922,Clover (Trifolium spp.) seed,21,Primary
120923,Fescue seed,21,Primary
120924,Kentucky blue grass (Poa pratensis L.) seed,21,Primary
120925,"Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seed",21,Primary
120926,(-2006) Timothy grass seed,21,Primary
120929,Other,21,Primary
120930,Seeds of herbaceous plants cultivated principally for their flowers,21,Primary
120991,Vegetable seeds,21,Primary
120999,Other,21,Primary
121110,(-2006) Liquorice roots,21,Primary
121120,Ginseng roots,21,Primary
121130,(2002-) Coca leaf,21,Primary
121140,(2002-) Poppy straw,21,Primary
121190,Other,21,Primary
121220,Seaweeds and other algae,21,Primary
121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets.",21,Primary
121410,Lucerne (alfalfa) meal and pellets,21,Primary
121490,Other,21,Primary
130110,(-2006) Lac,21,Primary
130120,Gum Arabic,21,Primary
130190,Other,21,Primary
130211,Opium,21,Primary
130212,Of liquorice,21,Primary
130213,Of hops,21,Primary
130214,(-2006) Of pyrethrum or of the roots of plants containing rotenone,21,Primary
130219,Other,21,Primary
130220,"Pectic substances, pectinates and pectates",21,Primary
140110,Bamboos,21,Primary
140120,Rattans,21,Primary
140190,Other,21,Primary
140200,"(2002-2006) Vegetable materials of a kind used primarily as stuffing or as padding (for example, kapok, vegetable hair and eelgrass), whether or not put up as a layer with or without supporting material.",21,Primary
140210,(-2001) Kapok,21,Primary
140290,(1996-2001) Other,21,Primary
140291,(-1995) Vegetable hair,21,Primary
140299,(-1995) Vegetable materials for stuffing or paddin,21,Primary
140300,"(2002-2006) Vegetable materials of a kind used primarily in brooms or in brushes (for example, broomcorn, piassava, couchgrass and istle), whether or not in hanks or bundles.",21,Primary
140310,(-2001) Broomcorn (Sorghum vulgare var.technicum),21,Primary
140390,(-2001) Other,21,Primary
140410,(-2006) Raw vegetable materials of a kind used primarily in dyeing or tanning,21,Primary
140420,Cotton linters,21,Primary
140490,Other,21,Primary
152200,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes.,21,Primary
230800,"(2002-) Vegetable materials and vegetable waste, vegetable residues and byproducts, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",21,Primary
230810,(-2001) Acorns and horse-chestnuts,21,Primary
230890,(-2001) Other,21,Primary
240110,"Tobacco, not stemmed/stripped",21,Primary
240120,"Tobacco, partly or wholly stemmed/stripped",21,Primary
240130,Tobacco refuse,21,Primary
250100,"Salt (including table salt and denatured salt) and pure sodium chloride, whether or not in aqueous solution or containing added anticaking or freeflowing agents; sea water.",21,Primary
250200,Unroasted iron pyrites.,21,Primary
250300,"(1996-) Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur.",21,Primary
250310,(-1995) Crude or unrefined sulphur,21,Primary
250390,"(-1995) Other sulphur (excl. crude, sublimed, prec",21,Primary
250410,In powder or in flakes,21,Primary
250490,Other,21,Primary
250510,Silica sands and quartz sands,21,Primary
250590,Other,21,Primary
250610,Quartz,21,Primary
250621,(-2006) Crude or roughly trimmed,21,Primary
250629,(-2006) Other,21,Primary
250700,"Kaolin and other kaolinic clays, whether or not calcined.",21,Primary
250810,Bentonite,21,Primary
250820,(-2006) Decolourising earths and fuller's earth,21,Primary
250830,Fireclay,21,Primary
250840,Other clays,21,Primary
250850,"Andalusite, kyanite and sillimanite",21,Primary
250860,Mullite,21,Primary
250870,Chamotte or dinas earths,21,Primary
250900,Chalk.,21,Primary
251010,Unground,21,Primary
251020,Ground,21,Primary
251110,Natural barium sulphate (barytes),21,Primary
251120,Natural barium carbonate (witherite),21,Primary
251200,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less.",21,Primary
251311,"(-2006) Crude or in irregular pieces, including crushed pumice (bimskies)",21,Primary
251319,(-2006) Other,21,Primary
251320,"(1996-) Emery, natural corundum, natural garnet and other natural abrasives",21,Primary
251321,"(-1995) Emery... and other natural abrasives, crud",21,Primary
251329,"(-1995) Emery... and other natural abrasives, nes",21,Primary
251400,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",21,Primary
251511,Crude or roughly trimmed,21,Primary
251512,"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",21,Primary
251520,Ecaussine and other calcareous monumental or building stone; alabaster,21,Primary
251611,Crude or roughly trimmed,21,Primary
251612,"Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",21,Primary
251621,(-2006) Crude or roughly trimmed,21,Primary
251622,"(-2006) Merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape",21,Primary
251690,Other monumental or building stone,21,Primary
251710,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heattreated",21,Primary
251720,"- Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 2517.10",21,Primary
251730,Tarred macadam,21,Primary
251741,Of marble,21,Primary
251749,Other,21,Primary
251810,"Dolomite, not calcined or sintered",21,Primary
251820,Calcined or sintered dolomite,21,Primary
251830,Dolomite ramming mix,21,Primary
251910,Natural magnesium carbonate (magnesite),21,Primary
251990,Other,21,Primary
252010,Gypsum; anhydrite,21,Primary
252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement.",21,Primary
252400,(-2006) Asbestos.,21,Primary
252510,Crude mica and mica rifted into sheets or splittings,21,Primary
252520,Mica powder,21,Primary
252530,Mica waste,21,Primary
252610,"Not crushed, not powdered",21,Primary
252620,Crushed or powdered,21,Primary
252700,(-2001) Natural cryolite; natural chiolite.,21,Primary
252810,Natural sodium borates and concentrates thereof (whether or not calcined),21,Primary
252890,Other,21,Primary
252910,Felspar,21,Primary
252921,Containing by weight 97 % or less of calcium fluoride,21,Primary
252922,Containing by weight more than 97 % of calcium fluoride,21,Primary
252930,Leucite; nepheline and nepheline syenite,21,Primary
253010,"Vermiculite, perlite and chlorites, unexpanded",21,Primary
253020,"Kieserite, epsomite (natural magnesium sulphates)",21,Primary
253030,(-1995) Earth colours,21,Primary
253040,(-2001) Natural micaceous iron oxides,21,Primary
253090,Other,21,Primary
260111,Nonagglomerated,21,Primary
260112,Agglomerated,21,Primary
260120,Roasted iron pyrites,21,Primary
260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight.",21,Primary
260300,Copper ores and concentrates.,21,Primary
260400,Nickel ores and concentrates.,21,Primary
260500,Cobalt ores and concentrates.,21,Primary
260600,Aluminium ores and concentrates.,21,Primary
260700,Lead ores and concentrates.,21,Primary
260800,Zinc ores and concentrates.,21,Primary
260900,Tin ores and concentrates.,21,Primary
261000,Chromium ores and concentrates.,21,Primary
261100,Tungsten ores and concentrates.,21,Primary
261210,Uranium ores and concentrates,21,Primary
261220,Thorium ores and concentrates,21,Primary
261310,Roasted,21,Primary
261390,Other,21,Primary
261400,Titanium ores and concentrates.,21,Primary
261510,Zirconium ores and concentrates,21,Primary
261590,Other,21,Primary
261610,Silver ores and concentrates,21,Primary
261690,Other,21,Primary
261710,Antimony ores and concentrates,21,Primary
261790,Other,21,Primary
261800,Granulated slag (slag sand) from the manufacture of iron or steel.,21,Primary
261900,"Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel.",21,Primary
262011,Hard zinc spelter,21,Primary
262019,Other,21,Primary
262020,(-2001) Containing mainly lead,21,Primary
262021,(2002-) Leaded gasoline sludges and leaded antiknock compound sludges,21,Primary
262029,(2002-) Other,21,Primary
262030,Containing mainly copper,21,Primary
262040,Containing mainly aluminium,21,Primary
262050,(-2001) Containing mainly vanadium,21,Primary
262060,"(2002-) Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",21,Primary
262090,(-2001) Other,21,Primary
262091,"(2002-) Containing antimony, beryllium, cadmium, chromium or their mixtures",21,Primary
262099,(2002-) Other,21,Primary
262100,"(-2001) Other slag and ash, including seaweed ash (kelp).",21,Primary
262110,(2002-) Ash and residues from the incineration of municipal waste,21,Primary
262190,(2002-) Other,21,Primary
271410,Bituminous or oil shale and tar sands,21,Primary
271490,Other,21,Primary
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products.",21,Primary
310250,Sodium nitrate,21,Primary
310410,"(-2006) Carnallite, sylvite and other crude natural potassium salts",21,Primary
400110,"Natural rubber latex, whether or not prevulcanised",21,Primary
400121,Smoked sheets,21,Primary
400122,Technically specified natural rubber (TSNR),21,Primary
400129,Other,21,Primary
400130,"Balata, gutta-percha, guayule, chicle and similar natural gums",21,Primary
400300,"Reclaimed rubber in primary forms or in plates, sheets or strip.",21,Primary
400400,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom.",21,Primary
410110,"(-2001) Whole hides and skins of bovine animals, of a weig",21,Primary
410120,"(2002-) Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when drysalted, or 16 kg when fresh, wetsalted or otherwise preserved",21,Primary
410121,"(-2001) Other hides and skins of bovine animals, fresh or ",21,Primary
410122,"(-2001) Other hides and skins of bovine animals, fresh or ",21,Primary
