HS - Combined  Product Code,HS - Combined  Product Description,CCCN Product Code,CCCN Product Description
010110,(2002-) Purebred breeding animals,0101,"Live horses, asses, mules and hinnies"
010111,(-2001) Horses :-- Pure-bred breeding animals,0101,"Live horses, asses, mules and hinnies"
010119,(-2001) Horses :-- Other,0101,"Live horses, asses, mules and hinnies"
010120,"(-2001) Asses, mules and hinnies",0101,"Live horses, asses, mules and hinnies"
010190,(2002-) Other,0101,"Live horses, asses, mules and hinnies"
010210,Purebred breeding animals,0102A,"Bovine species,live -- pure bred for breeding"
010290,Other,0102B,"Bovine species,live -- othr than for breeding"
010310,Purebred breeding animals,0103,Live swine
010391,Weighing less than 50 kg,0103,Live swine
010392,Weighing 50 kg or more,0103,Live swine
010410,Sheep,0104A,"Sheep,live"
010420,Goats,0104B,"Goats,live"
010511,Fowls of the species Gallus domesticus,0105A,Live poultry less 185 gr
010512,(1996-) Turkeys,0105A,Live poultry less 185 gr
010519,Other,0105A,Live poultry less 185 gr
010591,(-1995) Live fowls of species Gallus domesticus (c,0105B,Live poultry over 185 gr
010592,"(1996-2006) Fowls of the species Gallus domesticus, weighing not more than 2,000 g",0105B,Live poultry over 185 gr
010593,"(1996-2006) Fowls of the species Gallus domesticus, weighing more than 2,000 g",0105B,Live poultry over 185 gr
010599,Other,0105B,Live poultry over 185 gr
010600,(-2001) Other live animals.,0106B,"Zoo animals,pets"
010611,(2002-) Primates,0106B,"Zoo animals,pets"
010612,"(2002-) Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",0106B,"Zoo animals,pets"
010619,(2002-) Other,0106B,"Zoo animals,pets"
010620,(2002-) Reptiles (including snakes and turtles),0106B,"Zoo animals,pets"
010631,(2002-) Birds of prey,0106B,"Zoo animals,pets"
010632,"(2002-) Psittaciformes (including parrots, parakeets, macaws and cockatoos)",0106B,"Zoo animals,pets"
010639,(2002-) Other,0106B,"Zoo animals,pets"
010690,(2002-) Other,0106B,"Zoo animals,pets"
020110,Carcasses and halfcarcasses,0201A,Bovine meat with bone in
020120,Other cuts with bone in,0201A,Bovine meat with bone in
020130,Boneless,0201B,Bovine meat boneless
020210,Carcasses and halfcarcasses,0201A,Bovine meat with bone in
020220,Other cuts with bone in,0201A,Bovine meat with bone in
020230,Boneless,0201B,Bovine meat boneless
020311,Carcasses and halfcarcasses,0201D,"Pig meat fresh,chilled,frozen"
020312,"Hams, shoulders and cuts thereof, with bone in",0201D,"Pig meat fresh,chilled,frozen"
020319,Other,0201D,"Pig meat fresh,chilled,frozen"
020321,Carcasses and halfcarcasses,0201D,"Pig meat fresh,chilled,frozen"
020322,"Hams, shoulders and cuts thereof, with bone in",0201D,"Pig meat fresh,chilled,frozen"
020329,Other,0201D,"Pig meat fresh,chilled,frozen"
020410,"Carcasses and halfcarcasses of lamb, fresh or chilled",0201C,"Mutton etc fresh,chilled,frozen"
020421,Carcasses and halfcarcasses,0201C,"Mutton etc fresh,chilled,frozen"
020422,Other cuts with bone in,0201C,"Mutton etc fresh,chilled,frozen"
020423,Boneless,0201C,"Mutton etc fresh,chilled,frozen"
020430,"Carcasses and halfcarcasses of lamb, frozen",0201C,"Mutton etc fresh,chilled,frozen"
020441,Carcasses and halfcarcasses,0201C,"Mutton etc fresh,chilled,frozen"
020442,Other cuts with bone in,0201C,"Mutton etc fresh,chilled,frozen"
020443,Boneless,0201C,"Mutton etc fresh,chilled,frozen"
020450,Meat of goats,0201C,"Mutton etc fresh,chilled,frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",0201E,"Horse meat fresh,chilled,frozen"
020610,"Of bovine animals, fresh or chilled",0201F,"Edible offal fresh,chilled,frozen"
020621,Tongues,0201F,"Edible offal fresh,chilled,frozen"
020622,Livers,0201F,"Edible offal fresh,chilled,frozen"
020629,Other,0201F,"Edible offal fresh,chilled,frozen"
020630,"Of swine, fresh or chilled",0201F,"Edible offal fresh,chilled,frozen"
020641,Livers,0201F,"Edible offal fresh,chilled,frozen"
020649,Other,0201F,"Edible offal fresh,chilled,frozen"
020680,"Other, fresh or chilled",0201F,"Edible offal fresh,chilled,frozen"
020690,"Other, frozen",0201F,"Edible offal fresh,chilled,frozen"
020710,(-1995) Fresh or chilled whole poultry,0202,"Poultry fresh,chilled,frozen"
020711,"(1996-) Not cut in pieces, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020712,"(1996-) Not cut in pieces, frozen",0202,"Poultry fresh,chilled,frozen"
020713,"(1996-) Cuts and offal, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020714,"(1996-) Cuts and offal, frozen",0202,"Poultry fresh,chilled,frozen"
020721,(-1995) Frozen whole chickens,0202,"Poultry fresh,chilled,frozen"
020722,(-1995) Frozen whole turkeys,0202,"Poultry fresh,chilled,frozen"
020723,"(-1995) Frozen whole ducks, geese and guinea fowls",0202,"Poultry fresh,chilled,frozen"
020724,"(1996-) Not cut in pieces, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
020725,"(1996-) Not cut in pieces, frozen",0202,"Poultry fresh,chilled,frozen"
020726,"(1996-) Cuts and offal, fresh or chilled",0202,"Poultry fresh,chilled,frozen"
