HS 1988/92 Product Code,HS 1988/92 Product Description,SIC Product Code,SIC Product Description
010111,Live pure bred breeding horses,0272,"Horses, mules, asses and burros, live"
010119,"Live horses, other than for pure-bred breeding",0272,"Horses, mules, asses and burros, live"
010120,Live asses mules and hinnies,0272,"Horses, mules, asses and burros, live"
010210,Live pure-bred breeding bovine animals,0211,Beef cattle
010290,"Live bovine animals, other than pure-bred breed",0241,"Dairy cattle, including breeding animals"
010310,Live pure-bred breeding swine,0213,Hogs
010391,Live swine weighing <50kg (excl. pure-bred bree,0213,Hogs
010392,Live swine weighing >=50kg (excl. pure-bred bre,0213,Hogs
010410,Live sheep,0214,Sheep and goats
010420,Live goats,0214,Sheep and goats
010511,"Live fowls of species Gallus domesticus, weighi",0259,"Poultry and eggs, nspf"
010519,"Live ducks, geese, turkeys and guinea fowls, we",0259,"Poultry and eggs, nspf"
010591,Live fowls of species Gallus domesticus (chicke,0259,"Poultry and eggs, nspf"
010599,"Live ducks, geese, turkeys and guinea fowls, we",0259,"Poultry and eggs, nspf"
010600,"Other live animals, nes",0271,"Furskins, raw or undressed and fur-bearing animals"
020110,Fresh or chilled bovine carcasses and half carc,2011,"Meat products and meat packing products, except poultry and small game animals"
020120,Fresh or chilled unboned bovine meat (excl. car,2011,"Meat products and meat packing products, except poultry and small game animals"
020130,Fresh or chilled boneless bovine meat,2011,"Meat products and meat packing products, except poultry and small game animals"
020210,Frozen bovine carcasses and half carcasses,2011,"Meat products and meat packing products, except poultry and small game animals"
020220,Frozen unboned bovine meat (excl. carcasses),2011,"Meat products and meat packing products, except poultry and small game animals"
020230,Frozen boneless bovine meat,2011,"Meat products and meat packing products, except poultry and small game animals"
020311,Fresh or chilled swine carcasses and half carca,2011,"Meat products and meat packing products, except poultry and small game animals"
020312,"Fresh or chilled unboned hams, shoulders and cu",2011,"Meat products and meat packing products, except poultry and small game animals"
020319,"Fresh or chilled swine meat, nes (unboned)",2011,"Meat products and meat packing products, except poultry and small game animals"
020321,Frozen swine carcasses and half carcasses,2011,"Meat products and meat packing products, except poultry and small game animals"
020322,"Frozen unboned hams, shoulders and cuts thereof",2011,"Meat products and meat packing products, except poultry and small game animals"
020329,"Frozen swine meat, nes",2011,"Meat products and meat packing products, except poultry and small game animals"
020410,Fresh or chilled lamb carcasses and half carcas,2011,"Meat products and meat packing products, except poultry and small game animals"
020421,Fresh or chilled sheep carcasses and half carca,2011,"Meat products and meat packing products, except poultry and small game animals"
020422,Fresh or chilled unboned meat of sheep,2011,"Meat products and meat packing products, except poultry and small game animals"
020423,Fresh or chilled boneless meat of sheep,2011,"Meat products and meat packing products, except poultry and small game animals"
020430,Frozen lamb carcasses and half carcasses,2011,"Meat products and meat packing products, except poultry and small game animals"
020441,Frozen sheep carcasses and half carcasses (excl,2011,"Meat products and meat packing products, except poultry and small game animals"
020442,Frozen unboned meat of sheep,2011,"Meat products and meat packing products, except poultry and small game animals"
020443,Frozen boned meat of sheep,2011,"Meat products and meat packing products, except poultry and small game animals"
020450,"Fresh, chilled or frozen goat meat",2011,"Meat products and meat packing products, except poultry and small game animals"
020500,"Meat of horses, asses, mules or hinnies, fresh,",2011,"Meat products and meat packing products, except poultry and small game animals"
020610,Fresh or chilled edible bovine offal,2011,"Meat products and meat packing products, except poultry and small game animals"
020621,Frozen bovine tongues,2011,"Meat products and meat packing products, except poultry and small game animals"
020622,Frozen bovine livers,2011,"Meat products and meat packing products, except poultry and small game animals"
020629,Frozen edible bovine offal (excl. tongues and l,2011,"Meat products and meat packing products, except poultry and small game animals"
020630,Fresh or chilled edible swine offal,2011,"Meat products and meat packing products, except poultry and small game animals"
020641,Frozen swine livers,2011,"Meat products and meat packing products, except poultry and small game animals"
020649,Frozen edible swine offal (excl. livers),2011,"Meat products and meat packing products, except poultry and small game animals"
020680,"Fresh or chilled edible offal of sheep, goats,",2011,"Meat products and meat packing products, except poultry and small game animals"
020690,"Frozen edible offal of sheep, goats, horses...",2011,"Meat products and meat packing products, except poultry and small game animals"
020710,Fresh or chilled whole poultry,2015,"Poultry, nspf, and eggs, prepared or preserved"
020721,Frozen whole chickens,2015,"Poultry, nspf, and eggs, prepared or preserved"
020722,Frozen whole turkeys,2015,"Poultry, nspf, and eggs, prepared or preserved"
020723,"Frozen whole ducks, geese and guinea fowls",2015,"Poultry, nspf, and eggs, prepared or preserved"
020731,Fresh or chilled fatty livers of geese or ducks,2015,"Poultry, nspf, and eggs, prepared or preserved"
020739,Fresh or chilled poultry cuts and offal (excl.,2015,"Poultry, nspf, and eggs, prepared or preserved"
020741,Frozen cuts and offal of chicken (excl. livers),2015,"Poultry, nspf, and eggs, prepared or preserved"
020742,Frozen cuts and offal of turkey (excl. livers),2015,"Poultry, nspf, and eggs, prepared or preserved"
020743,"Frozen cuts and offal of geese, ducks and guine",2015,"Poultry, nspf, and eggs, prepared or preserved"
020750,Frozen poultry livers,2015,"Poultry, nspf, and eggs, prepared or preserved"
020810,"Fresh, chilled or frozen meat and edible offal",2015,"Poultry, nspf, and eggs, prepared or preserved"
020820,"Fresh, chilled or frozen frogs' legs",2015,"Poultry, nspf, and eggs, prepared or preserved"
020890,"Fresh, chilled or frozen meat and edible offal,",2015,"Poultry, nspf, and eggs, prepared or preserved"
020900,"Pig and poultry fat, fresh, chilled, frozen, sa",2011,"Meat products and meat packing products, except poultry and small game animals"
021011,"Unboned swine hams, shoulders and cuts thereof,",2011,"Meat products and meat packing products, except poultry and small game animals"
021012,"Bellies and cuts thereof of swine, salted... or",2011,"Meat products and meat packing products, except poultry and small game animals"
021019,"Meat of swine, salted... or smoked, nes",2011,"Meat products and meat packing products, except poultry and small game animals"
021020,"Meat of bovine animals, salted... or smoked",2011,"Meat products and meat packing products, except poultry and small game animals"
021090,"Other meat, nes, salted... or smoked; flours an",2011,"Meat products and meat packing products, except poultry and small game animals"
030110,Live ornamental fish,0273,Animal aquaculture
030191,Live trout,0273,Animal aquaculture
030192,Live eels,0273,Animal aquaculture
030193,Live carp,0273,Animal aquaculture
030199,Other live fish,0273,Animal aquaculture
030211,Fresh or chilled trout,0273,Animal aquaculture
030212,"Fresh or chilled Pacific, Atlantic and Danube s",0273,Animal aquaculture
030219,Fresh or chilled salmonidae (excl. 0302.11 and,0912,Finfish
030221,Fresh or chilled halibut,0912,Finfish
030222,Fresh or chilled plaice,0912,Finfish
030223,Fresh or chilled sole,0912,Finfish
030229,"Fresh or chilled flat fish (excl. halibut, plai",0912,Finfish
030231,Fresh or chilled albacore or longfinned tunas,0912,Finfish
030232,Fresh or chilled yellowfin tunas,0912,Finfish
030233,Fresh or chilled skipjack or stripe-bellied bon,0912,Finfish
030239,"Fresh or chilled tunas, nes",0912,Finfish
030240,Fresh or chilled herrings (excl. livers and roe,0912,Finfish
030250,Fresh or chilled cod (excl. livers and roes),0912,Finfish
030261,"Fresh or chilled sardines, brisling or sparts",0912,Finfish
030262,Fresh or chilled haddock,0912,Finfish
030263,Fresh or chilled coalfish,0912,Finfish
030264,Fresh or chilled mackerel,0912,Finfish
030265,Fresh or chilled dogfish and other sharks,0912,Finfish
030266,Fresh or chilled eels,0912,Finfish
030269,"Fresh or chilled fish, nes",0912,Finfish
030270,Fresh or chilled fish livers and roes,0912,Finfish
030310,Frozen Pacific salmon,0912,Finfish
030321,Frozen trout,0912,Finfish
030322,Frozen Atlantic and Danube salmon,0912,Finfish
030329,"Frozen salmonidae (excl. Pacific, Atlantic, Dan",0912,Finfish
030331,Frozen halibut,0912,Finfish
030332,Frozen plaice,0912,Finfish
030333,Frozen sole,0912,Finfish
030339,"Frozen flat fish (excl. halibut, plaice and sol",0912,Finfish
030341,Frozen albacore or longfinned tunas,0912,Finfish
030342,Frozen yellowfin tunas,0912,Finfish
030343,Frozen skipjack or stripe-bellied bonito,0912,Finfish
030349,"Frozen tunas, nes",0912,Finfish
030350,Frozen herrings (excl. livers and roes),0912,Finfish
030360,Frozen cod (excl. livers and roes),0912,Finfish
030371,"Frozen sardines, brisling or sprats",0912,Finfish
030372,Frozen haddock,0912,Finfish
030373,Frozen coalfish,0912,Finfish
030374,Frozen mackerel,0912,Finfish
030375,Frozen dogfish and sharks,0912,Finfish
030376,Frozen eels,0912,Finfish
030377,Frozen sea-bass,0912,Finfish
030378,Frozen hake,0912,Finfish
030379,"Frozen fish, nes",0912,Finfish
030380,Frozen fish livers and roes,0912,Finfish
030410,Fresh or chilled fish fillets,0912,Finfish
030420,Frozen fish fillets,0912,Finfish
030490,Frozen fish meat (excl. fillets),0912,Finfish
030510,"Flours, meals and pellets of fish, fit for huma",2091,Canned and cured seafoods seafoods
