HS 1988/92 Product Code,HS 1988/92 Product Description,MTN Categories Product Code,MTN Categories Product Description
440110,"Fuel wood, in logs, in billets... or in similar",0101,"Wood, pulp, paper & furniture, raw materials"
440121,Coniferous wood in chips or particles,0101,"Wood, pulp, paper & furniture, raw materials"
440122,Non-coniferous wood in chips or particles,0101,"Wood, pulp, paper & furniture, raw materials"
440130,"Sawdust, wood waste and scrap (incl. agglomerat",0101,"Wood, pulp, paper & furniture, raw materials"
440200,Wood charcoal,0101,"Wood, pulp, paper & furniture, raw materials"
440310,"Wood in the rough..., treated with paint, stain",0101,"Wood, pulp, paper & furniture, raw materials"
440320,Untreated coniferous wood in the rough...,0101,"Wood, pulp, paper & furniture, raw materials"
440331,"Dark Red Meranti, Light Red Meranti and Meranti",0101,"Wood, pulp, paper & furniture, raw materials"
440332,"White Lauan, White Meranti, White Seraya, Yello",0101,"Wood, pulp, paper & furniture, raw materials"
440333,"Keruing, Ramin, Kapur, Teak, Jongkong, Merbau,",0101,"Wood, pulp, paper & furniture, raw materials"
440334,"Okoume, Obeche, Sapeli, Sipo, Acajou d'Afrique,",0101,"Wood, pulp, paper & furniture, raw materials"
440335,"Tiama, Mansonia, Ilomba, Dibetou, Limba and Azo",0101,"Wood, pulp, paper & furniture, raw materials"
440391,"Oak (Quercus spp.) wood in the rough, (excl. tr",0101,"Wood, pulp, paper & furniture, raw materials"
440392,"Beech (Fagus spp.) wood in the rough, (excl. tr",0101,"Wood, pulp, paper & furniture, raw materials"
440399,"Wood, nes in the rough..., (excl. treated)",0101,"Wood, pulp, paper & furniture, raw materials"
450110,"Natural cork, raw or simply prepared",0101,"Wood, pulp, paper & furniture, raw materials"
450190,"Waste cork; crushed, granulated or ground cork",0101,"Wood, pulp, paper & furniture, raw materials"
470100,Mechanical wood pulp,0101,"Wood, pulp, paper & furniture, raw materials"
470200,"Chemical wood pulp, dissolving grades",0101,"Wood, pulp, paper & furniture, raw materials"
470311,"Unbleached coniferous chemical wood pulp, soda",0101,"Wood, pulp, paper & furniture, raw materials"
470319,"Unbleached non-coniferous chemical wood pulp, s",0101,"Wood, pulp, paper & furniture, raw materials"
470321,Semi-bleached or bleached coniferous chemical w,0101,"Wood, pulp, paper & furniture, raw materials"
470329,Semi- or bleached non-coniferous chemical wood,0101,"Wood, pulp, paper & furniture, raw materials"
470411,"Unbleached coniferous chemical wood pulp, sulph",0101,"Wood, pulp, paper & furniture, raw materials"
470419,"Unbleached non-coniferous chemical wood pulp, s",0101,"Wood, pulp, paper & furniture, raw materials"
470421,Semi-bleached or bleached coniferous chemical w,0101,"Wood, pulp, paper & furniture, raw materials"
470429,Semi- or bleached non-coniferous chemical wood,0101,"Wood, pulp, paper & furniture, raw materials"
470500,Semi-chemical wood pulp,0101,"Wood, pulp, paper & furniture, raw materials"
470610,Cotton linters pulp,0101,"Wood, pulp, paper & furniture, raw materials"
470691,Mechanical pulp of fibrous cellulosic material,0101,"Wood, pulp, paper & furniture, raw materials"
470692,Chemical pulp of fibrous cellulosic material (e,0101,"Wood, pulp, paper & furniture, raw materials"
470693,Semi-chemical pulp of fibrous cellulosic materi,0101,"Wood, pulp, paper & furniture, raw materials"
470710,"Waste and scrap of unbleached kraft paper, pape",0101,"Wood, pulp, paper & furniture, raw materials"
470720,Waste and scrap of other paper or paperboard of,0101,"Wood, pulp, paper & furniture, raw materials"
470730,Waste and scrap of paper or paperboard made mai,0101,"Wood, pulp, paper & furniture, raw materials"
470790,"Waste and scrap of paper or paperboard, nes",0101,"Wood, pulp, paper & furniture, raw materials"
440410,"Coniferous hoopwood; split poles, etc; wooden s",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440420,"Non-coniferous hoopwood; split poles, etc; wood",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440500,Wood wool; wood flour,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440610,Railway or tramway sleepers (cross-ties) of woo,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440690,Railway or tramway sleepers (cross-ties) of woo,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440710,"Coniferous wood sawn or chipped lengthwise, sli",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440721,"Specified tropical woods (Meranti, etc) sawn le",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440722,"Specified tropical woods (OKoume..., etc) sawn",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440723,"Baboen, Mahogany, Imbuia and Balsa wood, sawn l",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440791,"Oak (Quercus spp.) wood,sawn/chipped lengthwise",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440792,"Beech (Fagus spp.) wood,sawn/chipped lengthwise",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440799,"Wood, nes sawn or chipped lengthwise, sliced or",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440810,Coniferous veneer sheets and sheets for plywood,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440820,Specified tropical wood veneer sheets and for p,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440890,Veneer sheets and sheets for plywood and other,0102,"Wood, pulp, paper & furniture, semi-finished manuf"
440910,"Coniferous wood, continuously shaped along any",0102,"Wood, pulp, paper & furniture, semi-finished manuf"
